player,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
Aaron Mooy,MF,Australia,32-094,1990,4.0,5,1.25,2,2,0,0,1,0,0,0.00,0,0,0,0,0,0
Aaron Ramsey,MF,Wales,31-357,1990,3.0,3,1.02,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Abdelhamid Sabiri,MF,Morocco,26-020,1996,2.0,4,2.40,2,1,0,1,0,0,1,0.60,0,1,0,0,0,0
Abdelkarim Hassan,DF,Qatar,29-112,1993,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Abderrazak Hamdallah,FW,Morocco,32-001,1990,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdessamad Ezzalzouli,FW,Morocco,21-001,2001,1.0,4,5.63,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Abdou Diallo,DF,Senegal,26-228,1996,3.7,2,0.54,2,0,0,0,0,0,1,0.27,1,0,0,0,0,0
Abdul Fatawu Issahaku,FW,Ghana,18-285,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32-051,1990,2.2,2,0.92,0,1,0,0,0,1,0,0.00,0,0,0,0,0,0
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,1997,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,1994,1.9,2,1.03,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0
Abdullah Madu,DF,Saudi Arabia,29-156,1993,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,1995,0.4,1,2.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abolfazl Jalali,DF,IR Iran,24-175,1998,0.2,1,4.74,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Achraf Dari,DF,Morocco,23-226,1999,2.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Achraf Hakimi,DF,Morocco,24-044,1998,7.0,14,2.10,12,0,1,0,1,0,1,0.15,1,0,0,0,0,0
Adrien Rabiot,MF,France,27-259,1995,5.4,11,2.05,10,0,0,1,0,0,1,0.19,1,0,0,0,0,0
Agustín Canobbio,MF,Uruguay,24-078,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ahmad Nourollahi,MF,IR Iran,29-319,1993,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ahmed Alaaeldin,FW,Qatar,29-321,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,25-324,1997,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ajdin Hrustic,MF,Australia,26-166,1996,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Akram Afif,FW,Qatar,26-030,1996,3.0,7,2.33,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Alan Franco,MF,Ecuador,24-119,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alejandro Balde,DF,Spain,19-061,2003,1.4,2,1.75,1,0,0,0,1,0,1,0.87,1,0,0,0,0,0
Aleksandar Mitrović,FW,Serbia,28-093,1994,2.9,3,1.03,1,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Alex Sandro,DF,Brazil,31-326,1991,2.1,6,3.09,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Alex Telles,DF,Brazil,30-003,1992,0.7,1,1.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexander Bah,DF,Denmark,25-009,1997,0.5,4,7.83,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Alexander Djiku,DF,Ghana,28-131,1994,1.1,1,0.93,1,0,0,0,0,0,1,0.93,1,0,0,0,0,0
Alexis Mac Allister,MF,Argentina,23-359,1998,6.1,16,2.77,16,0,0,0,0,0,2,0.35,2,0,0,0,0,0
Alexis Vega,FW,Mexico,25-023,1997,2.1,4,1.87,2,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Ali Abdi,DF,Tunisia,28-363,1993,2.1,3,1.44,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Al Hassan,MF,Saudi Arabia,25-289,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Al-Bulaihi,DF,Saudi Arabia,33-027,1989,2.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Assadalla,MF,Qatar,29-333,1993,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Gholizadeh,MF,IR Iran,26-283,1996,2.2,7,3.18,5,1,0,1,0,0,1,0.45,1,0,0,0,0,0
Ali Karimi,MF,IR Iran,28-310,1994,1.1,1,0.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Maâloul,DF,Tunisia,32-351,1990,1.0,2,2.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Alidu Seidu,DF,Ghana,22-197,2000,1.7,2,1.16,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Alireza Beiranvand,GK,IR Iran,30-088,1992,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alireza Jahanbakhsh,MF,IR Iran,29-129,1993,0.7,4,6.10,3,0,0,1,0,0,2,3.05,1,0,0,1,0,0
Alisson,GK,Brazil,30-077,1992,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alistair Johnston,DF,Canada,24-071,1998,3.0,8,2.67,6,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Almoez Ali,FW,Qatar,26-121,1996,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alphonso Davies,MF,Canada,22-046,2000,3.0,8,2.67,6,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Amadou Onana,MF,Belgium,21-124,2001,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Anass Zaroury,FW,Morocco,22-041,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-032,1995,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andreas Christensen,DF,Denmark,26-252,1996,3.0,2,0.67,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Andreas Cornelius,FW,Denmark,29-277,1993,1.0,5,4.89,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Andreas Skov Olsen,FW,Denmark,22-354,1999,1.5,3,2.05,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Andrej Kramarić,FW,Croatia,31-182,1991,5.3,10,1.90,7,0,1,1,0,1,0,0.00,0,0,0,0,0,0
Andries Noppert,GK,Netherlands,28-255,1994,5.3,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrija Živković,DF,Serbia,26-160,1996,2.3,7,3.00,6,0,0,1,0,0,2,0.86,2,0,0,0,0,0
André Ayew,MF,Ghana,33-001,1989,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
André Onana,GK,Cameroon,26-260,1996,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
André Silva,FW,Portugal,27-042,1995,0.3,3,10.38,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrés Guardado,MF,Mexico,36-081,1986,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Anis Ben Slimane,MF,Tunisia,21-277,2001,1.6,7,4.26,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Ansu Fati,FW,Spain,20-048,2002,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ante Budimir,FW,Croatia,31-149,1991,0.6,1,2.05,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Anthony Contreras,FW,Costa Rica,22-323,2000,1.4,1,0.72,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Antoine Griezmann,MF,France,31-272,1991,6.0,33,5.53,19,12,0,2,0,0,3,0.50,3,0,0,0,0,0
Antoine Semenyo,FW,Ghana,22-345,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Antonee Robinson,DF,United States,25-132,1997,4.0,8,2.01,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Antonio Rüdiger,DF,Germany,29-290,1993,3.0,4,1.33,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Antony,FW,Brazil,22-297,2000,1.9,7,4.44,5,1,0,0,1,0,0,0.00,0,0,0,0,0,0
António Silva,DF,Portugal,19-049,2003,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ao Tanaka,MF,Japan,24-099,1998,1.9,2,1.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ardon Jasari,FW,Switzerland,20-141,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Arkadiusz Milik,FW,Poland,28-293,1994,1.1,2,1.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Artur Jędrzejczyk,DF,Poland,35-044,1987,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Asiri Haitham,FW,Saudi Arabia,21-268,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Assim Madibo,MF,Qatar,26-057,1996,1.7,2,1.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Atiba Hutchinson,MF,Canada,39-313,1983,1.8,2,1.13,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Aurélien Tchouaméni,MF,France,22-325,2000,6.9,13,1.98,10,1,1,1,0,0,0,0.00,0,0,0,0,0,0
Awer Mabil,MF,Australia,27-094,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Axel Disasi,DF,France,24-282,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Axel Witsel,MF,Belgium,33-340,1989,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ayase Ueda,FW,Japan,24-099,1998,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aymeric Laporte,DF,Spain,28-205,1994,3.3,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aziz Behich,DF,Australia,32-002,1990,4.0,6,1.50,2,1,2,1,0,0,0,0.00,0,0,0,0,0,0
Azzedine Ounahi,MF,Morocco,22-243,2000,6.3,16,2.54,11,0,2,2,1,0,1,0.16,1,0,0,0,0,0
Aïssa Laïdouni,MF,Tunisia,26-005,1996,2.7,4,1.48,4,0,0,0,0,0,1,0.37,1,0,0,0,0,0
Baba Rahman,DF,Ghana,28-169,1994,2.0,5,2.46,5,0,0,0,0,0,1,0.49,1,0,0,0,0,0
Badr Banoun,DF,Morocco,29-079,1993,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bailey Wright,DF,Australia,30-143,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bamba Dieng,FW,Senegal,22-270,2000,1.1,4,3.60,1,0,0,0,3,0,0,0.00,0,0,0,0,0,0
Bartosz Bereszyński,DF,Poland,30-159,1992,3.8,1,0.26,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Bassam Al-Rawi,DF,Qatar,25-002,1997,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ben Davies,DF,Wales,29-238,1993,2.6,4,1.51,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Benjamin Pavard,DF,France,26-265,1996,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bernardo Silva,MF,Portugal,28-130,1994,4.0,13,3.28,11,1,0,0,1,0,3,0.76,3,0,0,0,0,0
Bilal El Khannous,MF,Morocco,18-222,2004,0.6,1,1.64,0,0,0,0,1,0,1,1.64,0,0,0,0,1,0
Borna Barišić,DF,Croatia,30-038,1992,1.3,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Borna Sosa,DF,Croatia,24-331,1998,4.7,3,0.64,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Boualem Khoukhi,DF,Qatar,32-162,1990,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Boulaye Dia,FW,Senegal,26-032,1996,3.5,5,1.42,4,0,0,1,0,0,1,0.28,1,0,0,0,0,0
Brandon Aguilera,MF,Costa Rica,19-173,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Breel Embolo,FW,Switzerland,25-307,1997,3.6,6,1.67,3,0,0,2,1,0,0,0.00,0,0,0,0,0,0
Brenden Aaronson,MF,United States,22-057,2000,1.2,3,2.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Brennan Johnson,FW,Wales,21-209,2001,1.0,1,0.99,0,1,0,0,0,0,1,0.99,0,1,0,0,0,0
Bruno Fernandes,FW,Portugal,28-101,1994,4.0,15,3.79,9,6,0,0,0,0,4,1.01,3,1,0,0,0,0
Bruno Guimarães,MF,Brazil,25-032,1997,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bruno Petković,FW,Croatia,28-093,1994,2.6,7,3.09,5,0,1,0,1,0,0,0.00,0,0,0,0,0,0
Bryan Mbeumo,FW,Cameroon,23-133,1999,2.6,8,3.23,4,3,0,1,0,0,0,0.00,0,0,0,0,0,0
Bryan Oviedo,DF,Costa Rica,32-303,1990,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bryan Ruiz,MF,Costa Rica,37-122,1985,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bukayo Saka,FW,England,21-104,2001,3.2,9,2.80,5,0,0,0,4,0,1,0.31,0,0,0,0,1,0
Callum Wilson,FW,England,30-294,1992,0.5,4,7.50,4,0,0,0,0,0,1,1.87,1,0,0,0,0,0
Cameron Carter-Vickers,DF,United States,24-352,1997,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Gruezo,MF,Ecuador,27-243,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Martínez,DF,Costa Rica,23-263,1999,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Soler,MF,Spain,25-350,1997,1.0,4,5.81,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Casemiro,MF,Brazil,30-298,1992,4.3,9,2.25,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Celso Borges,MF,Costa Rica,34-205,1988,2.8,1,0.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Charles De Ketelaere,FW,Belgium,21-283,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Charly Rodríguez,MF,Mexico,25-349,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cheikhou Kouyaté,MF,Senegal,32-362,1989,0.8,2,2.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cho Guesung,FW,Korea Republic,24-327,1998,3.1,4,1.31,3,0,0,0,1,0,1,0.33,0,0,0,0,1,0
Cho Yumin,FW,Korea Republic,26-031,1996,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Chris Mepham,DF,Wales,25-043,1997,3.0,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Bassogog,MF,Cameroon,27-061,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Eriksen,MF,Denmark,30-307,1992,3.0,10,3.33,3,6,0,1,0,0,0,0.00,0,0,0,0,0,0
Christian Fassnacht,FW,Switzerland,29-037,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Nørgaard,MF,Denmark,28-283,1994,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Pulisic,FW,United States,24-091,1998,3.5,14,4.00,9,3,2,0,0,0,2,0.57,2,0,0,0,0,0
Christopher Wooh,DF,Cameroon,21-091,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cody Gakpo,FW,Netherlands,23-225,1999,5.0,17,3.39,9,5,0,1,2,0,2,0.40,2,0,0,0,0,0
Collins Fai,DF,Cameroon,30-127,1992,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Connor Roberts,DF,Wales,27-086,1995,2.2,6,2.69,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Craig Goodwin,MF,Australia,31-002,1991,2.6,5,1.92,2,2,0,0,1,0,0,0.00,0,0,0,0,0,0
Cristian Romero,DF,Argentina,24-235,1998,6.1,3,0.52,2,1,0,0,0,0,1,0.17,0,1,0,0,0,0
Cristiano Ronaldo,FW,Portugal,37-316,1985,3.2,10,3.10,8,0,0,1,1,0,2,0.62,1,0,0,0,1,0
Cyle Larin,FW,Canada,27-245,1995,1.5,5,3.28,4,0,1,0,0,0,1,0.66,1,0,0,0,0,0
César Azpilicueta,DF,Spain,33-112,1989,1.5,4,2.67,4,0,0,0,0,0,1,0.67,1,0,0,0,0,0
César Montes,DF,Mexico,25-297,1997,3.0,3,1.00,3,0,0,0,0,0,2,0.67,2,0,0,0,0,0
Daichi Kamada,FW,Japan,26-135,1996,3.6,7,1.96,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Daizen Maeda,FW,Japan,25-059,1997,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daley Blind,DF,Netherlands,32-284,1990,4.7,4,0.85,3,0,0,1,0,0,1,0.21,1,0,0,0,0,0
Damian Szymański,MF,Poland,27-185,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dani Alves,DF,Brazil,39-226,1983,1.3,4,3.05,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Dani Carvajal,DF,Spain,30-341,1992,1.5,1,0.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dani Olmo,FW,Spain,24-225,1998,4.1,12,2.94,9,1,1,0,1,0,3,0.74,3,0,0,0,0,0
Daniel Amartey,DF,Ghana,27-362,1994,2.8,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daniel Chacón,MF,Costa Rica,21-251,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daniel James,FW,Wales,25-038,1997,1.7,2,1.17,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daniel Kyereh,MF,Ghana,26-285,1996,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danilo,DF,Brazil,31-156,1991,3.1,8,2.87,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danilo Pereira,DF,Portugal,31-100,1991,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danny Ward,GK,Wales,29-179,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Darko Lazović,DF,Serbia,32-094,1990,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Darwin Núñez,FW,Uruguay,23-177,1999,2.7,8,3.00,7,0,0,0,1,0,1,0.37,1,0,0,0,0,0
David Raum,DF,Germany,24-240,1998,2.7,14,5.21,9,4,0,0,1,0,2,0.74,1,0,0,0,1,0
David Wotherspoon,MF,Canada,32-336,1990,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Davy Klaassen,MF,Netherlands,29-300,1993,2.1,7,3.32,7,0,0,0,0,0,2,0.95,2,0,0,0,0,0
Dayot Upamecano,DF,France,24-052,1998,5.3,13,2.60,12,0,0,1,0,0,3,0.60,3,0,0,0,0,0
DeAndre Yedlin,DF,United States,29-162,1993,0.4,2,5.45,2,0,0,0,0,0,1,2.73,1,0,0,0,0,0
Declan Rice,MF,England,23-338,1999,4.6,6,1.29,3,0,0,0,0,3,0,0.00,0,0,0,0,0,0
Dejan Lovren,DF,Croatia,33-166,1989,6.7,2,0.33,2,0,0,0,0,0,1,0.17,1,0,0,0,0,0
Denis Odoi,DF,Ghana,34-205,1988,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Denis Zakaria,MF,Switzerland,26-028,1996,0.7,1,1.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Denzel Dumfries,DF,Netherlands,26-244,1996,5.3,5,1.00,5,0,0,0,0,0,2,0.40,2,0,0,0,0,0
Devis Epassy,GK,Cameroon,29-319,1993,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Diego Godín,DF,Uruguay,36-305,1986,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Diogo Costa,GK,Portugal,23-090,1999,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
