player,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Cristian Romero,DF,Argentina,24-235,1998,6.1,337,375,89.9,5417,2109,175,187,93.6,137,150,91.3,21,30,70.0,0,0.0,0.0,0.0,0,12,0,0,11
Cristiano Ronaldo,FW,Portugal,37-316,1985,3.2,68,90,75.6,789,98,49,55,89.1,13,21,61.9,1,1,100.0,0,0.1,0.1,-0.1,4,3,1,0,4
Cyle Larin,FW,Canada,27-245,1995,1.5,21,29,72.4,299,109,11,14,78.6,8,8,100.0,1,1,100.0,0,0.5,0.3,-0.5,2,4,3,2,4
César Azpilicueta,DF,Spain,33-112,1989,1.5,171,181,94.5,2877,704,71,74,95.9,86,90,95.6,11,12,91.7,1,0.7,0.5,+0.3,4,13,3,2,8
César Montes,DF,Mexico,25-297,1997,3.0,159,197,80.7,3324,957,42,48,87.5,96,107,89.7,20,36,55.6,1,0.5,0.5,+0.5,1,10,0,0,8
Daichi Kamada,FW,Japan,26-135,1996,3.6,83,104,79.8,1464,313,45,51,88.2,28,34,82.4,9,14,64.3,0,0.0,0.2,0.0,1,13,2,0,6
Daizen Maeda,FW,Japan,25-059,1997,2.0,8,17,47.1,121,10,3,9,33.3,5,8,62.5,0,0,,0,0.0,0.1,0.0,0,0,0,0,0
Daley Blind,DF,Netherlands,32-284,1990,4.7,252,300,84.0,4293,1503,132,153,86.3,91,102,89.2,26,40,65.0,1,0.5,0.4,+0.5,2,25,4,2,21
Damian Szymański,MF,Poland,27-185,1995,0.3,8,8,100.0,165,29,4,4,100.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Dani Alves,DF,Brazil,39-226,1983,1.3,83,97,85.6,1128,429,55,58,94.8,20,27,74.1,4,8,50.0,0,0.0,0.1,0.0,0,7,3,1,5
Dani Carvajal,DF,Spain,30-341,1992,1.5,121,135,89.6,2017,425,59,59,100.0,47,56,83.9,14,14,100.0,0,0.0,0.0,0.0,0,9,0,0,3
Dani Olmo,FW,Spain,24-225,1998,4.1,162,198,81.8,2245,319,100,108,92.6,52,62,83.9,4,12,33.3,1,0.5,0.4,+0.5,5,6,8,1,9
Daniel Amartey,DF,Ghana,27-362,1994,2.8,128,141,90.8,2555,1088,47,48,97.9,57,62,91.9,22,26,84.6,0,0.1,0.0,-0.1,3,10,0,0,8
Daniel Chacón,MF,Costa Rica,21-251,2001,0.0,1,1,100.0,10,12,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Daniel James,FW,Wales,25-038,1997,1.7,24,36,66.7,351,70,16,23,69.6,5,8,62.5,2,3,66.7,0,0.0,0.0,0.0,1,0,1,1,1
Daniel Kyereh,MF,Ghana,26-285,1996,0.4,18,23,78.3,257,43,10,10,100.0,7,7,100.0,1,6,16.7,0,0.0,0.0,0.0,0,2,0,0,1
Danilo,DF,Brazil,31-156,1991,3.1,230,269,85.5,3615,986,120,128,93.8,100,115,87.0,7,21,33.3,0,0.0,0.2,0.0,0,21,2,1,16
Danilo Pereira,DF,Portugal,31-100,1991,1.0,68,78,87.2,1342,488,25,26,96.2,35,37,94.6,8,12,66.7,0,0.0,0.0,0.0,0,4,0,0,3
Danny Ward,GK,Wales,29-179,1993,1.0,24,39,61.5,923,797,8,8,100.0,2,2,100.0,14,29,48.3,0,0.0,0.0,0.0,0,2,0,0,0
Darko Lazović,DF,Serbia,32-094,1990,0.3,7,12,58.3,151,19,3,5,60.0,2,4,50.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Darwin Núñez,FW,Uruguay,23-177,1999,2.7,35,56,62.5,584,77,18,29,62.1,12,15,80.0,4,7,57.1,0,0.2,0.1,-0.2,1,0,1,1,1
David Raum,DF,Germany,24-240,1998,2.7,153,195,78.5,2344,741,85,89,95.5,41,55,74.5,15,32,46.9,1,0.6,0.3,+0.4,7,9,6,3,13
David Wotherspoon,MF,Canada,32-336,1990,0.2,4,7,57.1,70,3,2,2,100.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0
Davy Klaassen,MF,Netherlands,29-300,1993,2.1,59,77,76.6,752,156,39,48,81.3,17,23,73.9,2,2,100.0,2,0.3,0.1,+1.7,4,6,1,0,4
Dayot Upamecano,DF,France,24-052,1998,5.3,314,351,89.5,6831,2194,83,88,94.3,172,179,96.1,55,74,74.3,0,0.1,0.1,-0.1,2,28,0,0,19
DeAndre Yedlin,DF,United States,29-162,1993,0.4,19,28,67.9,289,115,7,9,77.8,9,14,64.3,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,0
Declan Rice,MF,England,23-338,1999,4.6,300,322,93.2,5456,1141,124,125,99.2,143,155,92.3,29,34,85.3,0,0.0,0.1,0.0,1,18,2,0,14
Dejan Lovren,DF,Croatia,33-166,1989,6.7,405,460,88.0,7863,2519,137,150,91.3,219,235,93.2,44,65,67.7,1,0.0,0.1,+1.0,1,14,1,1,16
Denis Odoi,DF,Ghana,34-205,1988,0.1,2,2,100.0,27,16,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Denis Zakaria,MF,Switzerland,26-028,1996,0.7,20,23,87.0,356,83,10,12,83.3,8,9,88.9,2,2,100.0,0,0.0,0.0,0.0,0,3,0,0,2
Denzel Dumfries,DF,Netherlands,26-244,1996,5.3,149,217,68.7,2270,742,83,101,82.2,59,82,72.0,5,22,22.7,2,0.3,0.4,+1.7,2,7,6,0,15
Devis Epassy,GK,Cameroon,29-319,1993,2.0,57,83,68.7,2043,1646,5,5,100.0,24,24,100.0,28,54,51.9,0,0.0,0.0,0.0,0,2,0,0,0
Diego Godín,DF,Uruguay,36-305,1986,1.7,87,103,84.5,1827,515,26,32,81.3,47,54,87.0,13,16,81.3,0,0.0,0.0,0.0,0,7,0,0,3
Diogo Costa,GK,Portugal,23-090,1999,5.0,113,160,70.6,2890,2021,20,20,100.0,64,65,98.5,29,72,40.3,0,0.0,0.0,0.0,1,3,0,0,0
Diogo Dalot,DF,Portugal,23-275,1999,2.9,112,147,76.2,2152,522,52,60,86.7,40,50,80.0,17,29,58.6,2,0.7,0.4,+1.3,4,7,4,1,7
Djibril Sow,MF,Switzerland,25-315,1997,2.9,84,97,86.6,1395,282,36,42,85.7,40,42,95.2,7,8,87.5,1,0.2,0.2,+0.8,3,5,4,0,9
Djorkaeff Reasco,FW,Ecuador,23-334,1999,0.3,2,2,100.0,21,9,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
Dominik Livaković,GK,Croatia,27-343,1995,7.7,194,228,85.1,4572,3311,67,67,100.0,81,81,100.0,43,76,56.6,0,0.0,0.0,0.0,0,3,0,0,0
Dries Mertens,MF,Belgium,35-226,1987,0.8,22,33,66.7,344,129,16,22,72.7,2,2,100.0,4,8,50.0,0,0.1,0.1,-0.1,3,1,0,0,1
Dušan Tadić,MF,Serbia,34-028,1988,2.9,90,127,70.9,1402,501,50,59,84.7,31,40,77.5,6,17,35.3,2,0.7,1.1,+1.3,10,8,9,2,14
Dušan Vlahović,FW,Serbia,22-324,2000,0.9,6,11,54.5,105,20,2,6,33.3,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1
Dylan Bronn,DF,Tunisia,27-182,1995,1.8,75,98,76.5,1441,393,20,23,87.0,47,54,87.0,8,19,42.1,0,0.0,0.0,0.0,0,4,0,0,5
Eden Hazard,MF,Belgium,31-345,1991,1.4,46,58,79.3,678,180,26,29,89.7,14,18,77.8,2,3,66.7,0,0.0,0.1,0.0,1,5,0,0,6
Ederson,GK,Brazil,29-123,1993,1.0,28,31,90.3,728,547,4,4,100.0,17,19,89.5,7,8,87.5,0,0.0,0.0,0.0,0,0,0,0,0
Edimilson Fernandes,FW,Switzerland,26-247,1996,1.6,65,82,79.3,858,255,40,43,93.0,22,24,91.7,0,8,0.0,0,0.3,0.0,-0.3,3,2,0,0,3
Edinson Cavani,FW,Uruguay,35-307,1987,1.4,27,37,73.0,401,115,16,20,80.0,5,9,55.6,4,4,100.0,0,0.7,0.2,-0.7,5,2,2,0,3
Edouard Mendy,GK,Senegal,30-292,1992,4.0,88,120,73.3,2342,1501,24,24,100.0,36,36,100.0,27,59,45.8,0,0.0,0.0,0.0,1,1,0,0,0
Edson Álvarez,MF,Mexico,25-055,1997,1.9,86,114,75.4,1297,375,48,55,87.3,32,42,76.2,4,13,30.8,0,0.2,0.4,-0.2,1,3,1,0,2
Eduardo Camavinga,DF,France,20-038,2002,1.6,88,100,88.0,1446,421,48,49,98.0,37,41,90.2,3,7,42.9,0,0.1,0.1,-0.1,3,3,2,1,3
Ehsan Hajsafi,MF,IR Iran,32-296,1990,2.6,61,98,62.2,1085,442,25,38,65.8,26,30,86.7,6,23,26.1,0,0.2,0.3,-0.2,2,6,1,0,6
Ellyes Skhiri,MF,Tunisia,27-222,1995,3.0,109,127,85.8,1976,841,44,46,95.7,52,59,88.1,12,19,63.2,0,0.1,0.1,-0.1,3,14,2,0,13
Emiliano Martínez,GK,Argentina,30-107,1992,7.7,120,187,64.2,2839,1877,32,32,100.0,64,64,100.0,23,88,26.1,0,0.0,0.0,0.0,0,1,0,0,0
Enner Valencia,FW,Ecuador,33-044,1989,2.8,40,57,70.2,534,70,25,34,73.5,14,14,100.0,0,1,0.0,0,0.3,0.2,-0.3,3,2,1,1,1
Enzo Ebosse,DF,Cameroon,23-282,1999,1.0,34,38,89.5,780,283,7,7,100.0,18,20,90.0,8,9,88.9,0,0.0,0.0,0.0,0,2,0,0,2
Enzo Fernández,MF,Argentina,21-335,2001,6.3,412,471,87.5,6634,1695,208,229,90.8,159,177,89.8,32,44,72.7,1,0.9,0.8,+0.1,6,43,9,1,24
Eray Cömert,DF,Switzerland,24-317,1998,0.5,38,42,90.5,719,254,11,13,84.6,24,25,96.0,3,4,75.0,0,0.0,0.0,0.0,0,1,0,0,1
Eric Dier,DF,England,28-337,1994,0.4,40,41,97.6,744,318,13,13,100.0,24,24,100.0,3,4,75.0,0,0.0,0.0,0.0,0,1,0,0,0
Eric Maxim Choupo-Moting,FW,Cameroon,33-270,1989,2.8,44,66,66.7,629,135,32,41,78.0,8,14,57.1,2,4,50.0,0,0.0,0.1,0.0,2,5,1,0,5
Erick Gutiérrez,MF,Mexico,27-186,1995,0.5,24,29,82.8,340,56,13,14,92.9,11,12,91.7,0,2,0.0,0,0.0,0.0,0.0,0,2,0,0,1
Ethan Ampadu,MF,Wales,22-095,2000,2.8,108,144,75.0,2056,679,42,53,79.2,51,59,86.4,14,22,63.6,0,0.1,0.1,-0.1,2,16,1,0,14
Everton Ribeiro,MF,Brazil,33-252,1989,0.4,15,18,83.3,210,67,10,12,83.3,5,5,100.0,0,1,0.0,0,0.1,0.1,-0.1,2,2,1,1,2
Exequiel Palacios,MF,Argentina,24-074,1998,0.6,25,28,89.3,251,108,16,17,94.1,4,4,100.0,0,1,0.0,0,0.1,0.1,-0.1,1,5,1,0,3
Fabian Frei,MF,Switzerland,33-344,1989,0.3,9,14,64.3,150,19,4,4,100.0,5,7,71.4,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Fabian Rieder,FW,Switzerland,20-305,2002,0.8,13,26,50.0,126,34,11,16,68.8,2,7,28.6,0,2,0.0,0,0.2,0.0,-0.2,1,1,0,0,1
Fabian Schär,DF,Switzerland,30-363,1991,1.5,65,82,79.3,1483,444,17,19,89.5,40,47,85.1,8,16,50.0,0,0.0,0.0,0.0,0,4,0,0,2
Fabinho,MF,Brazil,29-056,1993,1.0,51,57,89.5,896,326,25,26,96.2,19,22,86.4,7,7,100.0,0,0.0,0.0,0.0,0,4,0,0,6
Facundo Pellistri,MF,Uruguay,20-363,2001,2.0,32,46,69.6,536,103,16,19,84.2,13,19,68.4,2,3,66.7,0,0.2,0.2,-0.2,3,1,1,0,2
Famara Diedhiou,FW,Senegal,30-003,1992,1.0,10,14,71.4,145,17,5,8,62.5,5,5,100.0,0,0,,0,0.0,0.1,0.0,1,1,1,0,1
Federico Valverde,MF,Uruguay,24-149,1998,3.0,159,189,84.1,2866,875,68,73,93.2,63,73,86.3,23,34,67.6,0,0.4,0.4,-0.4,4,21,3,1,17
Ferjani Sassi,MF,Tunisia,30-275,1992,0.5,25,34,73.5,522,135,5,7,71.4,17,18,94.4,3,6,50.0,0,0.0,0.0,0.0,0,5,1,0,4
Ferrán Torres,FW,Spain,22-292,2000,2.4,59,85,69.4,878,123,33,38,86.8,22,29,75.9,1,5,20.0,0,0.2,0.2,-0.2,1,1,3,0,6
Filip Kostić,DF,Serbia,30-047,1992,2.0,72,113,63.7,1170,416,28,34,82.4,30,46,65.2,7,19,36.8,0,0.0,0.2,0.0,1,3,2,2,6
Filip Mladenović,DF,Serbia,31-125,1991,0.7,20,25,80.0,279,95,10,10,100.0,8,11,72.7,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,1
Filip Đuričić,MF,Serbia,30-322,1992,0.2,5,6,83.3,96,23,2,3,66.7,3,3,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
Firas Al-Buraikan,MF,Saudi Arabia,22-218,2000,3.0,42,63,66.7,523,111,30,34,88.2,8,13,61.5,1,1,100.0,1,0.1,0.1,+0.9,1,1,4,0,5
Fodé Ballo-Touré,DF,Senegal,25-349,1997,0.1,5,8,62.5,100,3,2,2,100.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
Fran Karačić,DF,Australia,26-220,1996,1.0,33,54,61.1,765,350,11,17,64.7,13,22,59.1,9,14,64.3,0,0.1,0.1,-0.1,1,5,3,1,7
Francisco Calvo,DF,Costa Rica,30-163,1992,2.0,86,104,82.7,1562,601,34,37,91.9,43,49,87.8,8,17,47.1,0,0.0,0.0,0.0,0,4,0,0,5
Fred,MF,Brazil,29-288,1993,1.6,71,83,85.5,1108,338,40,45,88.9,23,29,79.3,6,6,100.0,0,0.2,0.2,-0.2,4,6,4,0,11
Frenkie de Jong,MF,Netherlands,25-220,1997,5.3,323,364,88.7,5030,1254,178,198,89.9,121,128,94.5,19,25,76.0,1,0.2,0.4,+0.8,4,23,2,1,17
Félix Torres Caicedo,DF,Ecuador,25-341,1997,3.0,168,208,80.8,3340,1317,51,58,87.9,94,103,91.3,23,42,54.8,1,0.4,0.0,+0.6,1,3,0,0,2
Gabriel Jesus,FW,Brazil,25-259,1997,1.0,22,28,78.6,297,130,13,14,92.9,6,7,85.7,2,2,100.0,0,0.2,0.1,-0.2,4,3,2,0,5
Garang Kuol,FW,Australia,18-094,2004,0.4,3,5,60.0,33,3,3,3,100.0,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Gareth Bale,FW,Wales,33-155,1989,2.5,33,53,62.3,545,137,12,17,70.6,13,18,72.2,3,9,33.3,0,0.2,0.2,-0.2,2,2,1,1,4
Gavi,MF,Spain,18-135,2004,3.2,133,154,86.4,1966,174,77,81,95.1,46,49,93.9,6,11,54.5,0,0.1,0.2,-0.1,1,6,2,1,4
Gaël Ondoua,MF,Cameroon,27-044,1995,0.5,17,19,89.5,301,103,7,9,77.8,6,6,100.0,3,3,100.0,0,0.0,0.0,0.0,0,3,0,0,4
Georges-Kévin N'Koudou,FW,Cameroon,27-308,1995,0.3,9,12,75.0,165,28,5,5,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
Germán Pezzella,DF,Argentina,31-174,1991,0.7,42,45,93.3,628,234,22,22,100.0,20,21,95.2,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1
Gerson Torres,MF,Costa Rica,25-112,1997,0.7,16,16,100.0,228,14,8,8,100.0,8,8,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Ghaylène Chaalali,MF,Tunisia,28-293,1994,0.2,3,4,75.0,75,32,0,1,0.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
Gideon Mensah,DF,Ghana,24-153,1998,1.0,36,46,78.3,586,202,19,21,90.5,14,17,82.4,3,7,42.9,1,0.3,0.1,+0.7,1,2,1,0,3
Gio Reyna,FW,United States,20-035,2002,0.6,26,38,68.4,408,58,13,19,68.4,9,12,75.0,2,2,100.0,0,0.2,0.2,-0.2,2,1,1,1,1
Giorgian De Arrascaeta,MF,Uruguay,28-200,1994,1.2,32,52,61.5,393,149,17,20,85.0,10,16,62.5,1,6,16.7,0,0.5,0.6,-0.5,3,3,3,0,4
Gleison Bremer,DF,Brazil,25-275,1997,1.2,78,84,92.9,1445,438,20,22,90.9,55,57,96.5,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,1
Gonzalo Montiel,DF,Argentina,25-351,1997,1.3,69,81,85.2,954,307,39,42,92.9,26,28,92.9,1,3,33.3,0,0.3,0.2,-0.3,3,4,0,0,2
Gonzalo Plata,MF,Ecuador,22-047,2000,3.0,77,104,74.0,1138,283,48,51,94.1,21,30,70.0,5,17,29.4,0,0.2,0.1,-0.2,2,3,1,0,2
Gonçalo Ramos,FW,Portugal,21-181,2001,1.7,25,31,80.6,315,57,17,20,85.0,8,9,88.9,0,0,,1,0.4,0.1,+0.6,2,1,2,0,2
Granit Xhaka,MF,Switzerland,30-082,1992,4.0,215,243,88.5,3990,1079,81,86,94.2,99,106,93.4,28,40,70.0,0,0.1,0.2,-0.1,2,21,3,0,25
Gregor Kobel,GK,Switzerland,25-012,1997,1.0,21,29,72.4,478,277,5,5,100.0,15,15,100.0,1,9,11.1,0,0.0,0.0,0.0,0,0,0,0,0
Grzegorz Krychowiak,MF,Poland,32-323,1990,3.7,93,127,73.2,1385,575,58,65,89.2,22,31,71.0,8,20,40.0,0,0.2,0.1,-0.2,3,8,1,0,7
Guido Rodríguez,MF,Argentina,28-250,1994,0.6,54,64,84.4,871,342,30,33,90.9,19,24,79.2,4,6,66.7,0,0.0,0.0,0.0,0,2,0,0,1
Guillermo Ochoa,GK,Mexico,37-158,1985,3.0,93,109,85.3,2274,1555,19,19,100.0,53,53,100.0,21,35,60.0,0,0.0,0.0,0.0,0,1,0,0,0
Guillermo Varela,DF,Uruguay,29-269,1993,2.0,62,92,67.4,1043,465,31,38,81.6,22,33,66.7,7,14,50.0,0,0.1,0.0,-0.1,1,3,2,1,6
Haji Wright,FW,United States,24-266,1998,1.5,20,27,74.1,219,37,13,15,86.7,3,5,60.0,1,2,50.0,0,0.0,0.0,0.0,1,2,1,0,2
Hakim Ziyech,FW,Morocco,29-274,1993,7.1,211,306,69.0,3462,987,118,139,84.9,57,79,72.2,27,62,43.5,1,0.7,0.5,+0.3,7,16,7,0,24
Hannibal Mejbri,MF,Tunisia,19-331,2003,0.1,2,2,100.0,29,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Haris Seferović,FW,Switzerland,30-299,1992,0.8,10,14,71.4,135,23,7,7,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1
Harry Kane,FW,England,29-143,1993,4.5,62,98,63.3,1027,390,33,43,76.7,24,36,66.7,5,7,71.4,3,1.5,0.7,+1.5,5,12,5,1,16
Harry Maguire,DF,England,29-288,1993,4.8,354,407,87.0,7329,2340,99,109,90.8,212,224,94.6,43,68,63.2,1,0.0,0.1,+1.0,1,23,1,0,19
Harry Souttar,DF,Australia,24-057,1998,4.0,138,167,82.6,2588,1257,54,56,96.4,64,69,92.8,14,35,40.0,0,0.0,0.1,0.0,1,9,0,0,5
Harry Wilson,MF,Wales,25-271,1997,1.8,48,64,75.0,911,225,23,27,85.2,17,21,81.0,8,13,61.5,0,0.5,0.3,-0.5,3,3,2,1,2
Hassan Al Tambakti,DF,Saudi Arabia,23-312,1999,2.0,40,55,72.7,694,326,17,18,94.4,19,24,79.2,3,9,33.3,0,0.0,0.0,0.0,0,1,0,0,3
Hassan Al-Haydos,MF,Qatar,32-007,1990,2.3,65,80,81.3,1088,282,33,39,84.6,24,25,96.0,7,12,58.3,0,0.6,0.5,-0.6,2,5,2,2,6
Hattan Bahebri,MF,Saudi Arabia,30-155,1992,0.0,4,7,57.1,31,7,2,3,66.7,0,2,0.0,0,0,,1,0.6,0.0,+0.4,1,0,0,0,0
Henry Martín,FW,Mexico,30-030,1992,1.6,13,20,65.0,152,14,9,12,75.0,4,6,66.7,0,0,,0,0.2,0.2,-0.2,5,0,0,0,0
Hernán Galíndez,GK,Ecuador,35-263,1987,3.0,44,74,59.5,1275,996,11,11,100.0,16,16,100.0,16,46,34.8,0,0.0,0.0,0.0,0,0,0,0,0
Hidemasa Morita,MF,Japan,27-222,1995,3.2,129,157,82.2,2180,695,68,79,86.1,47,58,81.0,12,16,75.0,0,0.1,0.1,-0.1,2,14,2,1,11
Hiroki Ito,DF,Japan,23-220,1999,0.5,58,63,92.1,1007,257,28,28,100.0,25,27,92.6,5,8,62.5,0,0.0,0.0,0.0,1,8,0,0,5
Hiroki Sakai,MF,Japan,32-250,1990,1.3,28,47,59.6,540,288,9,11,81.8,14,21,66.7,4,9,44.4,0,0.1,0.1,-0.1,1,4,1,0,6
Hirving Lozano,FW,Mexico,27-141,1995,2.8,42,77,54.5,641,258,21,28,75.0,14,22,63.6,4,15,26.7,0,1.0,0.9,-1.0,8,1,8,3,7
Homam Ahmed,DF,Qatar,23-115,1999,2.9,77,105,73.3,1196,182,45,52,86.5,24,31,77.4,5,10,50.0,0,0.0,0.0,0.0,2,1,0,0,2
Hong Chul,DF,Korea Republic,32-092,1990,0.5,17,20,85.0,324,102,8,8,100.0,5,5,100.0,3,6,50.0,0,0.1,0.0,-0.1,1,2,0,0,3
Hossein Hosseini,GK,IR Iran,30-171,1992,1.8,23,47,48.9,811,676,0,0,,9,9,100.0,14,36,38.9,0,0.0,0.0,0.0,0,0,0,0,0
Hossein Kanaanizadegan,DF,IR Iran,28-270,1994,0.5,8,11,72.7,213,121,2,3,66.7,2,2,100.0,4,6,66.7,0,0.0,0.0,0.0,0,0,0,0,0
Hugo Lloris,GK,France,35-357,1986,6.3,110,182,60.4,3608,2916,19,19,100.0,45,47,95.7,46,115,40.0,0,0.0,0.0,0.0,0,2,0,0,0
Hwang Hee-chan,MF,Korea Republic,26-326,1996,1.3,45,59,76.3,595,127,33,35,94.3,11,16,68.8,1,2,50.0,0,0.0,0.1,0.0,1,0,1,0,1
Hwang In-beom,MF,Korea Republic,26-089,1996,3.7,194,247,78.5,3456,1020,89,106,84.0,76,89,85.4,22,41,53.7,0,0.1,0.2,-0.1,3,33,5,1,21
Hwang Ui-jo,FW,Korea Republic,30-112,1992,1.2,9,11,81.8,120,19,4,6,66.7,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Héctor Herrera,MF,Mexico,32-243,1990,1.8,64,78,82.1,1104,198,28,33,84.8,29,32,90.6,4,7,57.1,0,0.1,0.2,-0.1,1,3,1,1,3
Héctor Moreno,DF,Mexico,34-335,1988,3.0,165,195,84.6,2986,1087,68,76,89.5,80,92,87.0,16,25,64.0,0,0.0,0.0,0.0,1,20,0,0,13
Ibrahima Konaté,DF,France,23-207,1999,3.3,216,236,91.5,4342,1538,71,76,93.4,119,125,95.2,26,34,76.5,0,0.4,0.3,-0.4,2,22,1,0,15
Idrissa Gana Gueye,MF,Senegal,33-083,1989,3.0,107,133,80.5,1524,274,58,63,92.1,38,42,90.5,5,16,31.3,0,0.1,0.2,-0.1,1,7,0,0,4
Ilias Chair,MF,Morocco,25-049,1997,0.5,13,15,86.7,188,54,8,8,100.0,4,5,80.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0
Iliman Ndiaye,FW,Senegal,22-287,2000,1.5,25,32,78.1,290,43,16,19,84.2,7,10,70.0,0,1,0.0,1,0.2,0.2,+0.8,1,0,0,0,1
Ismail Jakobs,DF,Senegal,23-123,1999,3.1,107,156,68.6,1695,708,54,63,85.7,46,62,74.2,6,26,23.1,1,0.3,0.5,+0.7,5,8,4,3,6
Ismail Mohamad,FW,Qatar,32-257,1990,1.9,,,,,,,,,,,,,,,1,,,,,,,,
Ismaila Sarr,FW,Senegal,24-296,1998,3.8,52,81,64.2,659,205,32,36,88.9,11,25,44.0,4,6,66.7,0,0.4,0.5,-0.4,6,3,6,2,6
