player,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Aaron Mooy,MF,Australia,32-094,1990,4.0,217,206,11,8,0,4,10,0,3,0,3,0,170,0,4
Aaron Ramsey,MF,Wales,31-357,1990,3.0,112,101,10,3,0,3,5,0,1,0,1,0,88,1,3
Abdelhamid Sabiri,MF,Morocco,26-020,1996,2.0,58,55,3,2,0,2,1,0,1,0,0,0,45,0,1
Abdelkarim Hassan,DF,Qatar,29-112,1993,3.0,161,148,13,11,0,10,6,2,0,0,0,0,122,0,8
Abderrazak Hamdallah,FW,Morocco,32-001,1990,0.8,15,14,1,0,0,0,0,0,0,0,0,0,8,0,1
Abdessamad Ezzalzouli,FW,Morocco,21-001,2001,1.0,13,12,1,0,0,0,1,1,0,0,0,0,10,0,0
Abdou Diallo,DF,Senegal,26-228,1996,3.7,186,165,20,12,0,4,3,8,0,0,0,0,139,1,1
Abdul Fatawu Issahaku,FW,Ghana,18-285,2004,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Abdulaziz Hatem,MF,Qatar,32-051,1990,2.2,91,84,6,4,0,0,1,0,1,1,0,0,72,1,4
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,1997,2.0,104,99,5,4,0,6,1,1,0,0,0,0,74,0,1
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,1994,1.9,84,78,6,6,0,0,1,0,0,0,0,0,66,0,1
Abdullah Madu,DF,Saudi Arabia,29-156,1993,0.5,13,12,1,1,0,0,0,0,0,0,0,0,5,0,1
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,1995,0.4,13,13,0,0,0,0,2,0,0,0,0,0,8,0,2
Abolfazl Jalali,DF,IR Iran,24-175,1998,0.2,29,21,8,1,0,0,2,7,0,0,0,0,20,0,1
Achraf Dari,DF,Morocco,23-226,1999,2.1,111,107,4,4,0,0,0,0,0,0,0,0,99,0,0
Achraf Hakimi,DF,Morocco,24-044,1998,7.0,382,308,73,6,1,5,12,67,0,0,0,0,312,1,8
Adrien Rabiot,MF,France,27-259,1995,5.4,284,277,6,4,0,1,7,2,0,0,0,0,237,1,6
Agustín Canobbio,MF,Uruguay,24-078,1998,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Ahmad Nourollahi,MF,IR Iran,29-319,1993,2.5,54,52,1,0,0,0,3,0,0,0,0,0,35,1,0
Ahmed Alaaeldin,FW,Qatar,29-321,1993,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Aimen Dahmen,GK,Tunisia,25-324,1997,3.0,77,54,23,5,0,2,0,0,0,0,0,0,48,0,0
Ajdin Hrustic,MF,Australia,26-166,1996,0.7,21,19,2,1,0,1,1,1,0,0,0,0,17,0,0
Akram Afif,FW,Qatar,26-030,1996,3.0,165,142,22,8,1,2,13,2,6,4,1,0,139,1,4
Alan Franco,MF,Ecuador,24-119,1998,0.5,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
Alejandro Balde,DF,Spain,19-061,2003,1.4,123,111,12,1,1,0,2,11,0,0,0,0,112,0,0
Aleksandar Mitrović,FW,Serbia,28-093,1994,2.9,69,57,11,0,0,2,1,0,0,0,0,0,54,1,1
Alex Sandro,DF,Brazil,31-326,1991,2.1,169,144,24,3,0,0,4,21,0,0,0,0,150,1,2
Alex Telles,DF,Brazil,30-003,1992,0.7,42,37,5,2,0,0,3,3,0,0,0,0,33,0,0
Alexander Bah,DF,Denmark,25-009,1997,0.5,53,46,7,0,0,0,4,7,0,0,0,0,37,0,1
Alexander Djiku,DF,Ghana,28-131,1994,1.1,28,27,1,1,0,0,0,0,0,0,0,0,22,0,0
Alexis Mac Allister,MF,Argentina,23-359,1998,6.1,265,264,0,0,0,1,1,0,0,0,0,0,234,1,2
Alexis Vega,FW,Mexico,25-023,1997,2.1,56,50,6,2,2,0,6,0,4,0,3,0,40,0,2
Ali Abdi,DF,Tunisia,28-363,1993,2.1,116,87,28,0,0,0,5,27,1,1,0,0,72,1,5
Ali Al Hassan,MF,Saudi Arabia,25-289,1997,0.5,7,6,1,1,0,0,1,0,0,0,0,0,4,0,1
Ali Al-Bulaihi,DF,Saudi Arabia,33-027,1989,2.4,97,87,10,4,0,1,0,6,0,0,0,0,78,0,0
Ali Assadalla,MF,Qatar,29-333,1993,0.3,23,23,0,0,0,0,0,0,0,0,0,0,21,0,0
Ali Gholizadeh,MF,IR Iran,26-283,1996,2.2,72,66,6,0,1,2,4,3,3,2,0,0,46,0,2
Ali Karimi,MF,IR Iran,28-310,1994,1.1,45,44,1,1,0,0,2,0,0,0,0,0,34,0,2
Ali Maâloul,DF,Tunisia,32-351,1990,1.0,63,43,19,1,0,1,13,12,6,5,1,0,39,1,2
Alidu Seidu,DF,Ghana,22-197,2000,1.7,78,62,16,2,0,0,6,14,0,0,0,0,59,0,2
Alireza Beiranvand,GK,IR Iran,30-088,1992,1.2,31,22,9,0,0,0,0,0,0,0,0,0,20,0,0
Alireza Jahanbakhsh,MF,IR Iran,29-129,1993,0.7,17,14,2,1,0,0,1,0,0,0,0,0,11,1,1
Alisson,GK,Brazil,30-077,1992,4.2,93,65,28,9,0,0,0,0,0,0,0,0,80,0,1
Alistair Johnston,DF,Canada,24-071,1998,3.0,186,145,41,6,0,1,8,35,0,0,0,0,147,0,3
Almoez Ali,FW,Qatar,26-121,1996,2.5,45,42,3,0,0,0,0,0,0,0,0,0,33,0,1
Alphonso Davies,MF,Canada,22-046,2000,3.0,114,84,27,5,1,1,10,15,5,3,1,0,82,3,5
Amadou Onana,MF,Belgium,21-124,2001,1.2,64,63,0,0,1,0,0,0,0,0,0,0,58,1,0
Anass Zaroury,FW,Morocco,22-041,2000,0.3,13,13,0,0,0,0,3,0,0,0,0,0,8,0,1
Andre-Frank Zambo Anguissa,MF,Cameroon,27-032,1995,2.9,130,127,3,2,0,0,2,1,0,0,0,0,113,0,1
Andreas Christensen,DF,Denmark,26-252,1996,3.0,251,249,2,2,0,0,0,0,0,0,0,0,237,0,0
Andreas Cornelius,FW,Denmark,29-277,1993,1.0,34,33,1,0,0,0,1,0,0,0,0,0,21,0,0
Andreas Skov Olsen,FW,Denmark,22-354,1999,1.5,63,58,5,0,0,1,4,4,1,0,0,0,43,0,7
Andrej Kramarić,FW,Croatia,31-182,1991,5.3,176,167,9,0,0,1,6,3,0,0,0,0,153,0,3
Andries Noppert,GK,Netherlands,28-255,1994,5.3,192,145,47,7,0,1,0,0,0,0,0,0,157,0,1
Andrija Živković,DF,Serbia,26-160,1996,2.3,96,78,17,1,2,0,8,16,0,0,0,0,71,1,2
André Ayew,MF,Ghana,33-001,1989,2.2,37,30,7,1,0,0,0,1,0,0,0,0,30,0,0
André Onana,GK,Cameroon,26-260,1996,0.9,59,44,15,6,0,0,0,0,0,0,0,0,45,0,0
André Silva,FW,Portugal,27-042,1995,0.3,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0
Andrés Guardado,MF,Mexico,36-081,1986,0.5,16,14,2,1,0,0,0,0,0,0,0,0,11,0,1
Anis Ben Slimane,MF,Tunisia,21-277,2001,1.6,46,37,8,0,0,0,8,2,6,2,3,1,29,1,2
Ansu Fati,FW,Spain,20-048,2002,0.5,29,28,1,0,0,0,1,0,1,0,0,0,25,0,1
Ante Budimir,FW,Croatia,31-149,1991,0.6,5,5,0,0,0,0,0,0,0,0,0,0,2,0,1
Anthony Contreras,FW,Costa Rica,22-323,2000,1.4,26,23,3,0,0,0,1,1,0,0,0,0,15,0,2
Antoine Griezmann,MF,France,31-272,1991,6.0,329,274,52,20,4,5,40,1,28,13,11,0,258,3,5
Antoine Semenyo,FW,Ghana,22-345,2000,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Antonee Robinson,DF,United States,25-132,1997,4.0,241,205,36,4,0,1,21,32,0,0,0,0,173,0,7
Antonio Rüdiger,DF,Germany,29-290,1993,3.0,252,242,9,6,0,2,0,2,0,0,0,0,229,1,1
Antony,FW,Brazil,22-297,2000,1.9,109,100,9,1,0,0,10,0,8,4,0,0,86,0,1
António Silva,DF,Portugal,19-049,2003,1.0,62,60,2,2,0,2,0,0,0,0,0,0,60,0,0
Ao Tanaka,MF,Japan,24-099,1998,1.9,69,66,3,1,0,0,2,0,0,0,0,0,48,0,0
Ardon Jasari,FW,Switzerland,20-141,2002,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Arkadiusz Milik,FW,Poland,28-293,1994,1.1,29,29,0,0,0,1,0,0,0,0,0,0,19,0,3
Artur Jędrzejczyk,DF,Poland,35-044,1987,0.2,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0
Asiri Haitham,FW,Saudi Arabia,21-268,2001,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Assim Madibo,MF,Qatar,26-057,1996,1.7,70,67,3,3,0,0,0,0,0,0,0,0,58,0,1
Atiba Hutchinson,MF,Canada,39-313,1983,1.8,112,108,4,4,0,0,0,0,0,0,0,0,100,0,3
Aurélien Tchouaméni,MF,France,22-325,2000,6.9,474,461,11,10,1,2,3,1,0,0,0,0,426,2,3
Awer Mabil,MF,Australia,27-094,1995,0.3,14,13,1,0,0,1,0,1,0,0,0,0,10,0,1
Axel Disasi,DF,France,24-282,1998,1.0,78,61,17,1,0,0,2,16,0,0,0,0,61,0,1
Axel Witsel,MF,Belgium,33-340,1989,3.0,177,161,16,15,0,0,0,1,0,0,0,0,169,0,1
Ayase Ueda,FW,Japan,24-099,1998,0.5,12,12,0,0,1,0,0,0,0,0,0,0,7,0,0
Aymeric Laporte,DF,Spain,28-205,1994,3.3,438,424,14,9,0,3,0,3,0,0,0,0,413,0,2
Aziz Behich,DF,Australia,32-002,1990,4.0,203,156,47,3,0,0,5,44,0,0,0,0,152,0,5
Azzedine Ounahi,MF,Morocco,22-243,2000,6.3,265,257,5,4,2,1,3,1,0,0,0,0,216,3,8
Aïssa Laïdouni,MF,Tunisia,26-005,1996,2.7,123,118,5,3,0,1,3,2,0,0,0,0,99,0,3
Baba Rahman,DF,Ghana,28-169,1994,2.0,100,75,24,1,0,0,11,20,3,0,3,0,66,1,3
Badr Banoun,DF,Morocco,29-079,1993,0.6,22,21,1,1,0,0,0,0,0,0,0,0,21,0,0
Bailey Wright,DF,Australia,30-143,1992,0.2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Bamba Dieng,FW,Senegal,22-270,2000,1.1,16,15,1,0,0,0,1,0,0,0,0,0,9,0,1
Bartosz Bereszyński,DF,Poland,30-159,1992,3.8,156,112,44,5,0,0,4,39,0,0,0,0,122,0,6
Bassam Al-Rawi,DF,Qatar,25-002,1997,1.0,57,53,4,4,1,2,0,0,0,0,0,0,47,0,1
Ben Davies,DF,Wales,29-238,1993,2.6,161,135,25,8,0,5,0,17,0,0,0,0,122,1,7
Benjamin Pavard,DF,France,26-265,1996,1.0,90,84,6,1,0,1,1,5,0,0,0,0,82,0,0
Bernardo Silva,MF,Portugal,28-130,1994,4.0,292,274,17,10,0,2,5,2,5,0,0,0,256,1,8
Bilal El Khannous,MF,Morocco,18-222,2004,0.6,24,24,0,0,0,1,0,0,0,0,0,0,20,0,3
Borna Barišić,DF,Croatia,30-038,1992,1.3,69,56,13,2,0,0,11,11,0,0,0,0,50,0,0
Borna Sosa,DF,Croatia,24-331,1998,4.7,278,237,40,2,0,1,21,38,0,0,0,0,220,1,5
Boualem Khoukhi,DF,Qatar,32-162,1990,3.0,197,184,12,10,0,1,0,1,0,0,0,0,169,1,1
Boulaye Dia,FW,Senegal,26-032,1996,3.5,53,51,1,0,0,0,1,0,0,0,0,0,39,1,2
Brandon Aguilera,MF,Costa Rica,19-173,2003,1.0,38,35,2,2,0,1,1,0,0,0,0,0,27,1,2
Breel Embolo,FW,Switzerland,25-307,1997,3.6,62,53,8,0,0,0,0,0,0,0,0,0,46,1,2
Brenden Aaronson,MF,United States,22-057,2000,1.2,50,46,4,0,0,0,3,1,3,2,1,0,41,0,3
Brennan Johnson,FW,Wales,21-209,2001,1.0,17,16,1,0,0,0,1,1,0,0,0,0,10,0,1
Bruno Fernandes,FW,Portugal,28-101,1994,4.0,233,200,33,11,3,17,26,6,16,2,9,0,188,0,7
Bruno Guimarães,MF,Brazil,25-032,1997,0.8,54,51,2,1,0,0,3,0,1,1,0,0,43,1,2
Bruno Petković,FW,Croatia,28-093,1994,2.6,75,71,3,0,0,2,1,0,0,0,0,0,40,1,5
Bryan Mbeumo,FW,Cameroon,23-133,1999,2.6,85,74,11,5,0,0,12,0,6,3,2,0,49,0,3
Bryan Oviedo,DF,Costa Rica,32-303,1990,2.9,89,77,10,1,0,0,2,9,0,0,0,0,67,2,5
Bryan Ruiz,MF,Costa Rica,37-122,1985,0.3,12,9,1,0,0,0,0,0,0,0,0,0,8,2,0
Bukayo Saka,FW,England,21-104,2001,3.2,108,103,5,1,0,1,5,2,0,0,0,0,84,0,4
Callum Wilson,FW,England,30-294,1992,0.5,10,9,1,0,0,0,0,0,0,0,0,0,9,0,0
Cameron Carter-Vickers,DF,United States,24-352,1997,1.0,58,54,4,4,0,1,0,0,0,0,0,0,50,0,0
Carlos Gruezo,MF,Ecuador,27-243,1995,0.5,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0
Carlos Martínez,DF,Costa Rica,23-263,1999,0.5,15,9,6,1,0,0,0,5,0,0,0,0,10,0,0
Carlos Soler,MF,Spain,25-350,1997,1.0,83,78,4,1,0,1,3,1,2,1,1,0,78,1,1
Casemiro,MF,Brazil,30-298,1992,4.3,251,246,4,4,1,3,2,0,0,0,0,0,208,1,3
Celso Borges,MF,Costa Rica,34-205,1988,2.8,120,111,7,7,1,3,2,0,0,0,0,0,98,2,1
Charles De Ketelaere,FW,Belgium,21-283,2001,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Charly Rodríguez,MF,Mexico,25-349,1997,0.4,30,29,0,0,1,1,1,0,0,0,0,0,21,1,1
Cheikhou Kouyaté,MF,Senegal,32-362,1989,0.8,23,22,1,0,0,0,2,0,0,0,0,0,19,0,1
Cho Guesung,FW,Korea Republic,24-327,1998,3.1,63,56,7,0,0,0,1,0,0,0,0,0,40,0,0
Cho Yumin,FW,Korea Republic,26-031,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Mepham,DF,Wales,25-043,1997,3.0,172,167,5,3,0,0,0,2,0,0,0,0,141,0,0
Christian Bassogog,MF,Cameroon,27-061,1995,0.3,9,9,0,0,0,0,2,0,0,0,0,0,5,0,3
Christian Eriksen,MF,Denmark,30-307,1992,3.0,230,196,32,10,0,3,30,2,20,3,9,8,188,2,2
Christian Fassnacht,FW,Switzerland,29-037,1993,0.1,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0
Christian Nørgaard,MF,Denmark,28-283,1994,0.1,15,15,0,0,0,0,0,0,0,0,0,0,14,0,0
Christian Pulisic,FW,United States,24-091,1998,3.5,141,118,23,4,2,0,31,0,19,12,5,1,83,0,7
Christopher Wooh,DF,Cameroon,21-091,2001,1.0,31,27,4,4,0,0,0,0,0,0,0,0,25,0,0
Cody Gakpo,FW,Netherlands,23-225,1999,5.0,148,120,27,7,1,0,33,4,16,6,8,0,93,1,5
Collins Fai,DF,Cameroon,30-127,1992,3.0,146,118,28,4,1,1,13,24,0,0,0,0,99,0,4
Connor Roberts,DF,Wales,27-086,1995,2.2,118,99,19,0,0,0,7,19,0,0,0,0,92,0,3
Craig Goodwin,MF,Australia,31-002,1991,2.6,95,84,11,3,0,0,18,4,4,3,1,0,58,0,4
Cristian Romero,DF,Argentina,24-235,1998,6.1,375,364,11,9,0,2,0,2,0,0,0,0,337,0,1
Cristiano Ronaldo,FW,Portugal,37-316,1985,3.2,90,82,8,1,0,0,2,2,0,0,0,0,68,0,3
Cyle Larin,FW,Canada,27-245,1995,1.5,29,29,0,0,0,0,3,0,0,0,0,0,21,0,3
César Azpilicueta,DF,Spain,33-112,1989,1.5,181,162,18,7,1,0,3,11,0,0,0,0,171,1,1
César Montes,DF,Mexico,25-297,1997,3.0,197,192,3,2,0,3,0,1,0,0,0,0,159,2,3
Daichi Kamada,FW,Japan,26-135,1996,3.6,104,92,12,2,0,2,5,1,6,2,3,0,83,0,2
Daizen Maeda,FW,Japan,25-059,1997,2.0,17,15,2,0,0,0,0,0,0,0,0,0,8,0,0
Daley Blind,DF,Netherlands,32-284,1990,4.7,300,266,34,4,0,2,6,29,1,0,0,0,252,0,1
Damian Szymański,MF,Poland,27-185,1995,0.3,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Dani Alves,DF,Brazil,39-226,1983,1.3,97,82,15,4,0,0,6,11,0,0,0,0,83,0,0
Dani Carvajal,DF,Spain,30-341,1992,1.5,135,109,26,7,0,0,0,19,0,0,0,0,121,0,4
Dani Olmo,FW,Spain,24-225,1998,4.1,198,180,17,3,3,1,10,0,14,1,3,0,162,1,6
Daniel Amartey,DF,Ghana,27-362,1994,2.8,141,136,5,5,0,1,0,0,0,0,0,0,128,0,3
Daniel Chacón,MF,Costa Rica,21-251,2001,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Daniel James,FW,Wales,25-038,1997,1.7,36,32,3,0,0,0,4,1,1,0,0,0,24,1,0
Daniel Kyereh,MF,Ghana,26-285,1996,0.4,23,19,4,1,0,0,5,0,3,2,1,0,18,0,0
Danilo,DF,Brazil,31-156,1991,3.1,269,245,23,2,0,2,8,21,0,0,0,0,230,1,2
Danilo Pereira,DF,Portugal,31-100,1991,1.0,78,76,2,2,0,1,0,0,0,0,0,0,68,0,1
Danny Ward,GK,Wales,29-179,1993,1.0,39,25,14,5,0,0,0,0,0,0,0,0,24,0,0
Darko Lazović,DF,Serbia,32-094,1990,0.3,12,12,0,0,0,0,1,0,0,0,0,0,7,0,1
Darwin Núñez,FW,Uruguay,23-177,1999,2.7,56,53,3,0,0,0,4,1,0,0,0,0,35,0,1
David Raum,DF,Germany,24-240,1998,2.7,195,153,40,8,0,1,24,25,7,0,7,0,153,2,3
David Wotherspoon,MF,Canada,32-336,1990,0.2,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0
Davy Klaassen,MF,Netherlands,29-300,1993,2.1,77,77,0,0,1,0,2,0,0,0,0,0,59,0,1
Dayot Upamecano,DF,France,24-052,1998,5.3,351,344,5,4,0,7,0,1,0,0,0,0,314,2,3
DeAndre Yedlin,DF,United States,29-162,1993,0.4,28,23,5,0,0,0,4,5,0,0,0,0,19,0,0
Declan Rice,MF,England,23-338,1999,4.6,322,320,2,2,0,3,4,0,0,0,0,0,300,0,4
Dejan Lovren,DF,Croatia,33-166,1989,6.7,460,444,15,14,0,9,3,1,0,0,0,0,405,1,4
Denis Odoi,DF,Ghana,34-205,1988,0.1,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0
Denis Zakaria,MF,Switzerland,26-028,1996,0.7,23,21,2,2,0,0,0,0,0,0,0,0,20,0,0
Denzel Dumfries,DF,Netherlands,26-244,1996,5.3,217,167,50,0,0,0,8,50,0,0,0,0,149,0,8
Devis Epassy,GK,Cameroon,29-319,1993,2.0,83,51,32,7,0,1,0,0,0,0,0,0,57,0,0
Diego Godín,DF,Uruguay,36-305,1986,1.7,103,101,2,2,0,0,0,0,0,0,0,0,87,0,0
Diogo Costa,GK,Portugal,23-090,1999,5.0,160,117,41,6,0,0,0,0,0,0,0,0,113,2,1
Diogo Dalot,DF,Portugal,23-275,1999,2.9,147,127,19,1,0,2,9,18,0,0,0,0,112,1,2
Djibril Sow,MF,Switzerland,25-315,1997,2.9,97,94,3,1,0,0,1,0,0,0,0,0,84,0,1
Djorkaeff Reasco,FW,Ecuador,23-334,1999,0.3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Dominik Livaković,GK,Croatia,27-343,1995,7.7,228,166,62,12,0,0,0,0,0,0,0,0,194,0,1
Dries Mertens,MF,Belgium,35-226,1987,0.8,33,30,3,0,0,0,5,0,3,2,1,0,22,0,1
Dušan Tadić,MF,Serbia,34-028,1988,2.9,127,108,17,7,2,1,17,1,9,4,5,0,90,2,3
Dušan Vlahović,FW,Serbia,22-324,2000,0.9,11,11,0,0,0,0,0,0,0,0,0,0,6,0,0
Dylan Bronn,DF,Tunisia,27-182,1995,1.8,98,89,8,3,1,1,0,5,0,0,0,0,75,1,2
Eden Hazard,MF,Belgium,31-345,1991,1.4,58,58,0,0,1,0,1,0,0,0,0,0,46,0,2
Ederson,GK,Brazil,29-123,1993,1.0,31,25,6,0,0,0,0,0,0,0,0,0,28,0,0
Edimilson Fernandes,FW,Switzerland,26-247,1996,1.6,82,68,14,1,0,0,5,13,0,0,0,0,65,0,2
Edinson Cavani,FW,Uruguay,35-307,1987,1.4,37,36,1,0,0,0,0,0,1,0,0,0,27,0,2
Edouard Mendy,GK,Senegal,30-292,1992,4.0,120,83,37,11,0,2,0,0,0,0,0,0,88,0,0
Edson Álvarez,MF,Mexico,25-055,1997,1.9,114,111,3,3,1,0,0,0,0,0,0,0,86,0,1
Eduardo Camavinga,DF,France,20-038,2002,1.6,100,87,13,2,0,0,2,11,0,0,0,0,88,0,3
Ehsan Hajsafi,MF,IR Iran,32-296,1990,2.6,98,82,16,6,1,1,11,7,3,0,3,0,61,0,3
Ellyes Skhiri,MF,Tunisia,27-222,1995,3.0,127,122,5,3,0,1,2,1,0,0,0,0,109,0,1
Emiliano Martínez,GK,Argentina,30-107,1992,7.7,187,131,55,16,0,0,0,0,0,0,0,0,120,1,1
Enner Valencia,FW,Ecuador,33-044,1989,2.8,57,54,3,0,0,0,3,1,0,0,0,0,40,0,5
Enzo Ebosse,DF,Cameroon,23-282,1999,1.0,38,33,5,4,0,0,0,1,0,0,0,0,34,0,1
Enzo Fernández,MF,Argentina,21-335,2001,6.3,471,459,12,11,3,2,2,1,0,0,0,0,412,0,6
Eray Cömert,DF,Switzerland,24-317,1998,0.5,42,41,1,1,0,0,0,0,0,0,0,0,38,0,0
Eric Dier,DF,England,28-337,1994,0.4,41,40,1,1,0,0,0,0,0,0,0,0,40,0,0
Eric Maxim Choupo-Moting,FW,Cameroon,33-270,1989,2.8,66,59,7,0,0,0,0,0,0,0,0,0,44,0,1
Erick Gutiérrez,MF,Mexico,27-186,1995,0.5,29,28,1,1,0,0,0,0,0,0,0,0,24,0,0
Ethan Ampadu,MF,Wales,22-095,2000,2.8,144,134,9,4,1,2,2,5,0,0,0,0,108,1,5
Everton Ribeiro,MF,Brazil,33-252,1989,0.4,18,17,1,0,0,0,2,0,1,0,1,0,15,0,0
Exequiel Palacios,MF,Argentina,24-074,1998,0.6,28,26,1,1,0,0,0,0,0,0,0,0,25,1,0
Fabian Frei,MF,Switzerland,33-344,1989,0.3,14,14,0,0,0,0,0,0,0,0,0,0,9,0,0
Fabian Rieder,FW,Switzerland,20-305,2002,0.8,26,24,2,0,0,1,1,0,2,0,1,0,13,0,0
Fabian Schär,DF,Switzerland,30-363,1991,1.5,82,74,8,8,0,4,0,0,0,0,0,0,65,0,0
Fabinho,MF,Brazil,29-056,1993,1.0,57,54,3,3,0,0,0,0,0,0,0,0,51,0,1
Facundo Pellistri,MF,Uruguay,20-363,2001,2.0,46,46,0,0,0,0,3,0,0,0,0,0,32,0,3
Famara Diedhiou,FW,Senegal,30-003,1992,1.0,14,14,0,0,0,0,0,0,0,0,0,0,10,0,2
Federico Valverde,MF,Uruguay,24-149,1998,3.0,189,175,13,8,1,3,7,1,4,0,3,0,159,1,1
Ferjani Sassi,MF,Tunisia,30-275,1992,0.5,34,33,0,0,0,0,0,0,0,0,0,0,25,1,0
Ferrán Torres,FW,Spain,22-292,2000,2.4,85,85,0,0,0,0,9,0,0,0,0,0,59,0,7
Filip Kostić,DF,Serbia,30-047,1992,2.0,113,89,24,2,1,0,16,22,0,0,0,0,72,0,5
Filip Mladenović,DF,Serbia,31-125,1991,0.7,25,18,7,0,0,0,1,7,0,0,0,0,20,0,1
Filip Đuričić,MF,Serbia,30-322,1992,0.2,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0
Firas Al-Buraikan,MF,Saudi Arabia,22-218,2000,3.0,63,62,0,0,0,0,2,0,0,0,0,0,42,1,7
Fodé Ballo-Touré,DF,Senegal,25-349,1997,0.1,8,7,1,0,0,0,2,1,0,0,0,0,5,0,1
Fran Karačić,DF,Australia,26-220,1996,1.0,54,43,11,0,0,0,5,11,0,0,0,0,33,0,1
Francisco Calvo,DF,Costa Rica,30-163,1992,2.0,104,93,11,4,0,3,0,6,0,0,0,0,86,0,0
Fred,MF,Brazil,29-288,1993,1.6,83,80,3,2,0,0,0,1,0,0,0,0,71,0,1
Frenkie de Jong,MF,Netherlands,25-220,1997,5.3,364,357,7,4,0,2,3,3,0,0,0,0,323,0,4
Félix Torres Caicedo,DF,Ecuador,25-341,1997,3.0,208,196,10,10,0,1,0,0,0,0,0,0,168,2,3
Gabriel Jesus,FW,Brazil,25-259,1997,1.0,28,26,2,0,0,0,1,1,0,0,0,0,22,0,2
Garang Kuol,FW,Australia,18-094,2004,0.4,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Gareth Bale,FW,Wales,33-155,1989,2.5,53,49,4,0,0,3,2,2,0,0,0,0,33,0,2
Gavi,MF,Spain,18-135,2004,3.2,154,146,8,3,0,0,4,0,0,0,0,0,133,0,5
Gaël Ondoua,MF,Cameroon,27-044,1995,0.5,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0
Georges-Kévin N'Koudou,FW,Cameroon,27-308,1995,0.3,12,11,1,0,0,1,2,0,1,0,0,0,9,0,2
Germán Pezzella,DF,Argentina,31-174,1991,0.7,45,43,1,1,0,0,0,0,0,0,0,0,42,1,0
Gerson Torres,MF,Costa Rica,25-112,1997,0.7,16,14,2,2,0,0,0,0,0,0,0,0,16,0,0
Ghaylène Chaalali,MF,Tunisia,28-293,1994,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Gideon Mensah,DF,Ghana,24-153,1998,1.0,46,39,7,1,0,1,1,6,0,0,0,0,36,0,0
