player,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Gio Reyna,FW,United States,20-035,2002,0.6,38,34,3,0,0,1,2,2,0,0,0,0,26,1,1
Giorgian De Arrascaeta,MF,Uruguay,28-200,1994,1.2,52,47,5,2,2,0,6,1,2,1,1,0,32,0,4
Gleison Bremer,DF,Brazil,25-275,1997,1.2,84,81,2,0,0,0,0,2,0,0,0,0,78,1,0
Gonzalo Montiel,DF,Argentina,25-351,1997,1.3,81,69,12,0,0,0,3,12,0,0,0,0,69,0,4
Gonzalo Plata,MF,Ecuador,22-047,2000,3.0,104,87,17,4,0,0,17,3,6,6,0,0,77,0,1
Gonçalo Ramos,FW,Portugal,21-181,2001,1.7,31,29,2,0,0,0,0,0,0,0,0,0,25,0,1
Granit Xhaka,MF,Switzerland,30-082,1992,4.0,243,230,13,11,0,1,0,1,1,0,0,0,215,0,1
Gregor Kobel,GK,Switzerland,25-012,1997,1.0,29,18,11,3,0,0,0,0,0,0,0,0,21,0,0
Grzegorz Krychowiak,MF,Poland,32-323,1990,3.7,127,123,4,4,0,3,1,0,0,0,0,0,93,0,3
Guido Rodríguez,MF,Argentina,28-250,1994,0.6,64,62,2,2,0,1,0,0,0,0,0,0,54,0,0
Guillermo Ochoa,GK,Mexico,37-158,1985,3.0,109,75,32,6,0,0,0,0,0,0,0,0,93,2,0
Guillermo Varela,DF,Uruguay,29-269,1993,2.0,92,72,20,2,0,1,7,18,0,0,0,0,62,0,2
Haji Wright,FW,United States,24-266,1998,1.5,27,24,3,0,0,0,1,0,0,0,0,0,20,0,1
Hakim Ziyech,FW,Morocco,29-274,1993,7.1,306,260,42,24,0,15,30,7,11,5,2,0,211,4,8
Hannibal Mejbri,MF,Tunisia,19-331,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Haris Seferović,FW,Switzerland,30-299,1992,0.8,14,11,2,0,0,0,0,0,0,0,0,0,10,1,0
Harry Kane,FW,England,29-143,1993,4.5,98,94,3,0,2,1,6,1,0,0,0,0,62,1,5
Harry Maguire,DF,England,29-288,1993,4.8,407,391,16,16,0,5,1,0,0,0,0,0,354,0,3
Harry Souttar,DF,Australia,24-057,1998,4.0,167,163,4,4,0,2,0,0,0,0,0,0,138,0,1
Harry Wilson,MF,Wales,25-271,1997,1.8,64,56,8,4,1,1,9,0,4,4,0,0,48,0,1
Hassan Al Tambakti,DF,Saudi Arabia,23-312,1999,2.0,55,49,6,6,0,1,0,0,0,0,0,0,40,0,1
Hassan Al-Haydos,MF,Qatar,32-007,1990,2.3,80,75,5,2,0,2,4,1,2,2,0,0,65,0,3
Hattan Bahebri,MF,Saudi Arabia,30-155,1992,0.0,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
Henry Martín,FW,Mexico,30-030,1992,1.6,20,16,2,0,0,0,0,0,0,0,0,0,13,2,0
Hernán Galíndez,GK,Ecuador,35-263,1987,3.0,74,46,28,7,0,0,0,0,0,0,0,0,44,0,0
Hidemasa Morita,MF,Japan,27-222,1995,3.2,157,154,3,2,1,1,3,1,0,0,0,0,129,0,1
Hiroki Ito,DF,Japan,23-220,1999,0.5,63,61,2,0,0,1,0,2,0,0,0,0,58,0,0
Hiroki Sakai,MF,Japan,32-250,1990,1.3,47,32,14,1,0,0,2,13,0,0,0,0,28,1,1
Hirving Lozano,FW,Mexico,27-141,1995,2.8,77,69,7,5,3,0,24,2,0,0,0,0,42,1,7
Homam Ahmed,DF,Qatar,23-115,1999,2.9,105,81,23,1,0,2,5,22,0,0,0,0,77,1,6
Hong Chul,DF,Korea Republic,32-092,1990,0.5,20,18,2,0,0,2,2,2,0,0,0,0,17,0,0
Hossein Hosseini,GK,IR Iran,30-171,1992,1.8,47,30,15,4,0,0,0,0,0,0,0,0,23,2,0
Hossein Kanaanizadegan,DF,IR Iran,28-270,1994,0.5,11,10,1,0,0,0,0,1,0,0,0,0,8,0,0
Hugo Lloris,GK,France,35-357,1986,6.3,182,108,73,17,0,0,0,0,0,0,0,0,110,1,0
Hwang Hee-chan,MF,Korea Republic,26-326,1996,1.3,59,56,2,0,0,0,3,2,0,0,0,0,45,1,4
Hwang In-beom,MF,Korea Republic,26-089,1996,3.7,247,242,5,5,0,8,6,0,0,0,0,0,194,0,2
Hwang Ui-jo,FW,Korea Republic,30-112,1992,1.2,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0
Héctor Herrera,MF,Mexico,32-243,1990,1.8,78,76,2,2,0,2,4,0,0,0,0,0,64,0,3
Héctor Moreno,DF,Mexico,34-335,1988,3.0,195,179,16,15,0,2,0,1,0,0,0,0,165,0,0
Ibrahima Konaté,DF,France,23-207,1999,3.3,236,226,10,9,1,1,1,1,0,0,0,0,216,0,1
Idrissa Gana Gueye,MF,Senegal,33-083,1989,3.0,133,113,17,4,0,0,15,2,7,4,2,0,107,3,2
Ilias Chair,MF,Morocco,25-049,1997,0.5,15,15,0,0,0,0,2,0,0,0,0,0,13,0,0
Iliman Ndiaye,FW,Senegal,22-287,2000,1.5,32,29,3,0,0,0,2,1,0,0,0,0,25,0,0
Ismail Jakobs,DF,Senegal,23-123,1999,3.1,156,115,41,7,0,0,18,29,5,3,2,0,107,0,0
Ismail Mohamad,FW,Qatar,32-257,1990,1.9,,,,,,,8,,,,,,,,
Ismaila Sarr,FW,Senegal,24-296,1998,3.8,81,78,3,0,1,0,8,3,0,0,0,0,52,0,2
Ismaël Koné,MF,Canada,20-195,2002,1.2,101,99,2,2,0,4,1,0,0,0,0,0,96,0,1
Issam Jebali,FW,Tunisia,30-358,1991,2.0,35,30,4,0,0,0,2,1,0,0,0,0,25,1,2
Ivan Ilić,MF,Serbia,21-276,2001,0.4,20,19,1,1,0,0,0,0,0,0,0,0,19,0,0
Ivan Perišić,FW,Croatia,33-319,1989,7.4,292,254,36,1,1,2,27,34,1,0,0,0,202,2,7
Iñaki Williams,FW,Ghana,28-186,1994,3.0,42,41,1,0,0,0,1,0,0,0,0,0,29,0,3
Jack Grealish,FW,England,27-099,1995,1.0,54,53,1,1,0,0,0,0,0,0,0,0,48,0,3
Jackson Irvine,MF,Australia,29-286,1993,3.9,128,121,7,2,0,1,2,1,0,0,0,0,103,0,4
Jackson Porozo,DF,Ecuador,22-136,2000,1.1,44,43,1,0,1,0,0,1,0,0,0,0,39,0,0
Jakub Kamiński,MF,Poland,20-196,2002,2.6,61,59,2,0,0,0,4,2,0,0,0,0,37,0,3
Jakub Kiwior,DF,Poland,22-306,2000,3.9,205,193,12,5,0,3,0,0,0,0,0,0,174,0,2
Jamal Musiala,MF,Germany,19-295,2003,2.9,105,104,0,0,2,0,1,0,0,0,0,0,85,1,2
Jamie Maclaren,FW,Australia,29-142,1993,0.6,15,15,0,0,0,0,2,0,0,0,0,0,7,0,0
Jan Bednarek,DF,Poland,26-250,1996,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Jan Vertonghen,DF,Belgium,35-238,1987,3.0,269,263,6,5,0,2,0,1,0,0,0,0,238,0,4
Jason Cummings,FW,Australia,27-139,1995,0.4,6,4,2,0,0,0,0,0,0,0,0,0,4,0,1
Jawad El Yamiq,DF,Morocco,30-292,1992,3.4,164,158,6,4,0,2,0,2,0,0,0,0,146,0,1
Jean-Charles Castelletto,DF,Cameroon,27-326,1995,2.0,82,77,5,5,1,2,3,0,0,0,0,0,66,0,0
Jeong Woo-yeong,MF,Korea Republic,23-089,1999,0.5,15,13,1,0,0,0,1,0,0,0,0,0,12,1,0
Jeremy Doku,MF,Belgium,20-205,2002,0.2,14,14,0,0,0,0,3,0,0,0,0,0,8,0,2
Jeremy Sarmiento,MF,Ecuador,20-185,2002,0.9,37,33,4,0,0,0,5,2,2,1,1,0,23,0,2
Jerome Ngom Mbekeli,MF,Cameroon,24-079,1998,0.1,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0
Jesper Lindstrøm,MF,Denmark,22-292,2000,2.2,52,49,2,0,0,0,3,2,0,0,0,0,36,1,2
Jesús Ferreira,FW,United States,21-359,2000,0.5,19,18,1,0,0,0,0,0,0,0,0,0,16,0,1
Jesús Gallardo,DF,Mexico,28-125,1994,3.0,134,109,22,4,0,0,9,18,0,0,0,0,93,3,4
Jewison Bennette,MF,Costa Rica,18-186,2004,1.1,14,14,0,0,0,0,2,0,0,0,0,0,11,0,1
Jhegson Méndez,MF,Ecuador,25-236,1997,2.0,140,135,4,4,1,0,2,0,0,0,0,0,128,1,2
Joachim Andersen,DF,Denmark,26-201,1996,3.0,250,246,3,3,0,8,1,0,0,0,0,0,198,1,2
Joakim Mæhle,DF,Denmark,25-212,1997,2.8,146,120,26,1,0,0,4,25,0,0,0,0,119,0,2
Joe Allen,MF,Wales,32-279,1990,1.0,36,34,2,2,0,0,0,0,0,0,0,0,30,0,1
Joe Morrell,MF,Wales,25-349,1997,0.4,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0
Joe Rodon,DF,Wales,25-057,1997,3.0,169,167,2,2,0,0,0,0,0,0,0,0,152,0,0
Joel Campbell,FW,Costa Rica,30-175,1992,3.0,138,116,19,6,0,5,7,2,1,1,0,0,104,3,4
Johan Venegas,FW,Costa Rica,34-021,1988,0.8,14,13,1,0,0,0,1,0,0,0,0,0,11,0,0
John Stones,DF,England,28-204,1994,4.8,454,451,3,2,0,3,0,1,0,0,0,0,435,0,0
Jonas Hofmann,FW,Germany,30-157,1992,0.3,20,19,1,0,0,0,0,1,0,0,0,0,16,0,1
Jonathan David,FW,Canada,22-338,2000,2.1,60,53,6,0,0,0,0,0,0,0,0,0,41,1,3
Jonathan Osorio,MF,Canada,30-189,1992,1.3,57,55,2,0,0,0,0,2,0,0,0,0,52,0,0
Jordan Ayew,FW,Ghana,31-098,1991,1.5,46,34,12,2,0,0,8,2,6,6,0,0,35,0,2
Jordan Henderson,MF,England,32-184,1990,3.0,163,153,10,8,1,0,8,2,0,0,0,0,137,0,3
Jordan Morris,FW,United States,28-053,1994,0.0,4,4,0,0,0,0,2,0,0,0,0,0,1,0,1
Jordan Pickford,GK,England,28-286,1994,5.0,160,120,39,3,0,0,0,0,0,0,0,0,126,1,1
Jordan Veretout,MF,France,29-292,1993,0.7,36,35,1,1,0,0,0,0,0,0,0,0,33,0,1
Jordi Alba,DF,Spain,33-272,1989,2.9,372,330,40,6,2,0,14,34,0,0,0,0,328,2,6
Jorge Eduardo Sánchez,DF,Mexico,25-008,1997,1.9,87,62,25,0,0,0,2,25,0,0,0,0,69,0,2
Josh Sargent,FW,United States,22-301,2000,1.7,33,31,2,0,0,0,1,0,0,0,0,0,29,0,1
Joshua Kimmich,MF,Germany,27-313,1995,3.0,267,234,31,7,1,2,21,4,18,8,7,2,226,2,2
Josip Juranović,DF,Croatia,27-124,1995,6.7,405,336,68,4,0,2,24,64,0,0,0,0,318,1,16
Josip Stanišić,DF,Croatia,22-260,2000,1.0,49,40,9,2,0,1,1,7,0,0,0,0,36,0,4
Josip Šutalo,DF,Croatia,22-293,2000,1.0,66,66,0,0,0,1,0,0,0,0,0,0,62,0,0
José Cifuentes,MF,Ecuador,23-281,1999,0.7,44,42,2,0,1,0,2,2,0,0,0,0,33,0,2
José María Giménez,DF,Uruguay,27-332,1995,3.0,174,165,8,7,1,1,2,1,0,0,0,0,141,1,0
João Cancelo,DF,Portugal,28-205,1994,3.4,271,240,31,4,0,8,15,27,0,0,0,0,221,0,5
João Félix,FW,Portugal,23-038,1999,3.7,122,119,2,0,1,0,4,2,0,0,0,0,91,1,3
João Mário,FW,Portugal,29-333,1993,0.9,40,37,2,0,0,0,2,0,2,1,1,0,37,1,0
João Palhinha,MF,Portugal,27-162,1995,0.4,31,30,1,1,0,0,0,0,0,0,0,0,26,0,0
Joško Gvardiol,DF,Croatia,20-329,2002,7.7,519,506,11,10,2,3,1,1,0,0,0,0,464,2,0
Juan Foyth,DF,Argentina,24-340,1998,0.1,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0
Juan Pablo Vargas,DF,Costa Rica,27-195,1995,1.0,24,18,6,1,0,0,0,5,0,0,0,0,19,0,0
Jude Bellingham,MF,England,19-172,2003,4.6,265,258,6,2,1,3,4,1,0,0,0,0,235,1,5
Jules Koundé,DF,France,24-036,1998,5.3,311,263,44,2,0,0,2,42,0,0,0,0,252,4,8
Julián Álvarez,FW,Argentina,22-321,2000,5.2,121,117,4,0,1,1,3,2,0,0,0,0,93,0,5
Jung Woo-young,MF,Korea Republic,33-004,1989,3.4,211,208,1,1,0,5,1,0,0,0,0,0,178,2,3
Junior Hoilett,FW,Canada,32-196,1990,1.8,59,50,8,0,0,0,13,1,5,1,4,0,43,1,2
Junya Ito,MF,Japan,29-284,1993,3.6,97,80,15,1,0,0,14,9,5,0,3,0,59,2,4
Jurriën Timber,DF,Netherlands,21-184,2001,4.3,313,301,11,7,2,0,1,4,0,0,0,0,283,1,0
Kai Havertz,FW,Germany,23-190,1999,1.1,34,32,2,0,0,0,2,0,0,0,0,0,27,0,1
Kalidou Koulibaly,DF,Senegal,31-181,1991,4.0,205,185,20,18,0,4,0,0,0,0,0,0,156,0,3
Kalvin Phillips,MF,England,27-016,1995,0.5,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0
Kamal Miller,DF,Canada,25-216,1997,3.0,205,194,9,5,0,0,0,4,0,0,0,0,186,2,1
Kamaldeen Sulemana,FW,Ghana,20-306,2002,0.6,19,19,0,0,0,0,4,0,0,0,0,0,10,0,3
Kamil Glik,DF,Poland,34-318,1988,4.0,130,125,5,4,0,0,0,0,0,0,0,0,118,0,0
Kamil Grosicki,MF,Poland,34-193,1988,0.0,6,6,0,0,0,0,3,0,0,0,0,0,4,0,0
Kaoru Mitoma,MF,Japan,25-212,1997,1.8,70,57,13,0,0,0,0,13,0,0,0,0,50,0,2
Karim Ansarifard,FW,IR Iran,32-259,1990,0.4,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Karim Boudiaf,MF,Qatar,32-093,1990,2.1,106,103,3,3,0,2,0,0,0,0,0,0,94,0,0
Karl Toko Ekambi,FW,Cameroon,30-095,1992,1.8,53,50,3,1,0,1,3,0,2,0,2,0,43,0,2
Karol Świderski,FW,Poland,25-329,1997,0.5,7,6,1,0,0,0,0,0,0,0,0,0,7,0,0
Kasper Dolberg,FW,Denmark,25-073,1997,1.3,18,15,3,0,0,0,1,0,0,0,0,0,15,0,0
Kasper Schmeichel,GK,Denmark,36-043,1986,3.0,87,69,18,1,0,0,0,1,0,0,0,0,72,0,0
Keanu Baccus,MF,Australia,24-194,1998,1.3,41,41,0,0,1,1,0,0,0,0,0,0,26,0,1
Kellyn Acosta,MF,United States,27-147,1995,0.5,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0
Kendall Waston,DF,Costa Rica,34-351,1988,2.5,71,69,2,2,0,0,0,0,0,0,0,0,57,0,0
Kenneth Taylor,MF,Netherlands,20-216,2002,0.1,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Kevin De Bruyne,FW,Belgium,31-173,1991,3.0,136,118,17,5,4,2,18,5,7,0,6,0,93,1,8
Kevin Rodríguez,FW,Ecuador,22-289,2000,0.0,,,,,,,0,,,,,,,,
Kevin Álvarez,DF,Mexico,23-337,1999,0.8,29,20,9,0,0,0,1,9,0,0,0,0,19,0,1
Keylor Navas,GK,Costa Rica,36-003,1986,3.0,102,60,41,8,0,0,0,0,0,0,0,0,61,1,0
Keysher Fuller,DF,Costa Rica,28-160,1994,2.8,63,55,8,1,0,0,2,7,0,0,0,0,44,0,2
Kieffer Moore,FW,Wales,30-132,1992,2.5,56,56,0,0,0,1,0,0,0,0,0,0,36,0,2
Kieran Trippier,DF,England,32-090,1990,2.3,195,156,39,9,0,1,10,22,8,2,6,0,165,0,3
Kim Jin-su,DF,Korea Republic,30-188,1992,3.5,146,115,31,1,0,0,16,30,0,0,0,0,105,0,4
Kim Min-jae,DF,Korea Republic,26-033,1996,3.0,191,190,0,0,0,6,1,0,0,0,0,0,167,1,2
Kim Moonhwan,DF,Korea Republic,27-139,1995,4.0,242,197,45,2,0,0,15,43,0,0,0,0,201,0,4
Kim Seung-gyu,GK,Korea Republic,32-079,1990,4.0,128,85,43,14,0,0,0,0,0,0,0,0,93,0,0
Kim Young-gwon,DF,Korea Republic,32-294,1990,3.9,209,201,7,7,0,7,1,0,0,0,0,0,178,1,0
Kingsley Coman,FW,France,26-188,1996,1.9,72,64,8,2,0,0,13,1,5,2,3,0,56,0,1
Ko Itakura,DF,Japan,25-325,1997,3.0,111,109,2,2,1,0,0,0,0,0,0,0,98,0,1
Koke,MF,Spain,30-344,1992,0.6,62,60,0,0,0,2,0,0,0,0,0,0,56,2,0
Kristijan Jakić,FW,Croatia,25-218,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krystian Bielik,MF,Poland,24-348,1998,2.4,99,96,3,3,0,3,0,0,0,0,0,0,86,0,2
Krzysztof Piątek,FW,Poland,27-170,1995,0.3,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0
Krépin Diatta,FW,Senegal,23-296,1999,2.0,73,71,1,0,0,1,4,0,1,0,1,0,60,1,0
Kudus Mohammed,FW,Ghana,22-138,2000,2.7,87,78,8,4,1,1,6,1,1,1,0,0,62,1,3
Kwon Chang-hoon,FW,Korea Republic,28-171,1994,0.6,25,24,1,0,0,0,3,0,1,0,0,0,19,0,2
Kwon Kyung-won,DF,Korea Republic,30-321,1992,1.0,43,41,2,2,0,0,0,0,0,0,0,0,39,0,0
Kye Rowles,DF,Australia,24-177,1998,4.0,187,180,6,5,0,1,0,0,0,0,0,0,165,1,3
Kyle Walker,DF,England,32-204,1990,2.6,181,154,27,6,0,4,2,21,0,0,0,0,162,0,0
Kylian Mbappé,FW,France,23-363,1998,6.6,229,216,13,3,3,2,25,4,5,3,0,0,173,0,14
Lautaro Martínez,FW,Argentina,25-118,1997,2.7,62,53,9,0,0,0,0,0,0,0,0,0,46,0,0
Lawrence Ati-Zigi,GK,Ghana,26-019,1996,3.0,78,39,39,8,0,0,0,0,0,0,0,0,54,0,0
Leander Dendoncker,DF,Belgium,27-247,1995,1.8,122,119,3,2,0,0,0,1,0,0,0,0,119,0,0
Leandro Paredes,MF,Argentina,28-172,1994,2.5,246,233,12,11,0,1,0,1,0,0,0,0,230,1,0
Leandro Trossard,FW,Belgium,28-014,1994,1.1,57,56,1,0,0,1,2,1,0,0,0,0,43,0,2
Lee Jae-sung,MF,Korea Republic,30-130,1992,2.3,97,97,0,0,0,0,1,0,0,0,0,0,84,0,2
Lee Kangin,MF,Korea Republic,21-302,2001,1.6,77,66,11,5,0,1,12,0,5,3,2,0,62,0,1
Leon Goretzka,MF,Germany,27-315,1995,1.8,57,55,0,0,0,0,1,0,0,0,0,0,42,2,1
Leroy Sané,FW,Germany,26-341,1996,1.2,58,58,0,0,1,0,2,0,0,0,0,0,47,0,0
Liam Millar,DF,Canada,23-082,1999,0.1,9,7,2,0,0,0,2,1,1,1,0,0,4,0,0
Lionel Messi,FW,Argentina,35-177,1987,7.7,372,323,45,19,3,4,20,0,20,6,11,0,301,4,13
Lisandro Martínez,DF,Argentina,24-334,1998,3.4,156,146,9,8,0,1,1,1,0,0,0,0,133,1,0
Lovro Majer,MF,Croatia,24-335,1998,1.4,98,93,4,1,0,0,8,0,3,3,0,0,78,1,2
Loïs Openda,FW,Belgium,22-305,2000,0.1,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0
Lucas Cavallini,FW,Canada,29-355,1992,0.2,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0
Lucas Hernández,DF,France,26-307,1996,0.1,10,10,0,0,0,0,1,0,0,0,0,0,5,0,0
Lucas Paquetá,MF,Brazil,25-113,1997,3.5,202,193,8,2,0,0,4,6,0,0,0,0,169,1,4
Luis Chávez,MF,Mexico,26-337,1996,3.0,139,118,20,8,2,5,19,0,12,6,5,0,99,1,1
Luis Suárez,FW,Uruguay,35-328,1987,1.6,40,37,3,0,0,1,0,0,0,0,0,0,25,0,3
Luka Jović,FW,Serbia,24-360,1997,0.4,10,9,1,0,0,0,0,1,0,0,0,0,6,0,0
Luka Modrić,MF,Croatia,37-100,1985,7.3,551,497,53,33,0,7,33,0,19,7,5,0,465,1,10
Lukas Klostermann,DF,Germany,26-198,1996,0.7,52,42,10,2,0,1,0,8,0,0,0,0,51,0,0
Luke Shaw,DF,England,27-159,1995,4.7,400,347,52,15,0,1,22,33,4,1,3,0,335,1,8
Luuk de Jong,FW,Netherlands,32-113,1990,0.6,12,10,2,0,0,0,0,0,0,0,0,0,8,0,1
Majid Hosseini,DF,IR Iran,26-181,1996,3.0,106,100,6,4,0,2,0,1,0,0,0,0,86,0,1
Manuel Akanji,DF,Switzerland,27-152,1995,4.0,259,246,12,9,0,6,1,1,0,0,0,0,229,1,1
Manuel Neuer,GK,Germany,36-266,1986,3.0,127,111,16,2,0,0,0,0,0,0,0,0,115,0,0
Marcelo Brozović,MF,Croatia,30-032,1992,6.1,530,513,16,16,1,2,4,0,0,0,0,0,466,1,12
Marco Asensio,FW,Spain,26-331,1996,2.5,119,113,5,2,0,2,8,1,2,0,0,0,89,1,2
Marcos Acuña,DF,Argentina,31-051,1991,4.1,217,182,34,4,1,2,17,26,4,0,4,0,167,1,6
Marcos Llorente,DF,Spain,27-322,1995,1.3,106,89,16,3,0,0,2,13,0,0,0,0,95,1,2
Marcus Rashford,FW,England,25-048,1997,1.6,66,65,1,0,0,1,1,1,0,0,0,0,49,0,2
Marcus Thuram,FW,France,25-134,1997,1.7,39,38,1,0,0,0,1,0,0,0,0,0,27,0,1
Mario Götze,MF,Germany,30-198,1992,0.4,23,23,0,0,0,0,2,0,0,0,0,0,21,0,2
Mario Pašalić,FW,Croatia,27-312,1995,3.0,95,95,0,0,1,0,1,0,0,0,0,0,76,0,4
Mark-Anthony Kaye,MF,Canada,28-016,1994,0.7,61,59,2,1,0,0,0,1,0,0,0,0,51,0,0
Marko Grujić,MF,Serbia,26-249,1996,0.1,17,16,1,0,0,0,0,1,0,0,0,0,14,0,0
Marko Livaja,FW,Croatia,29-114,1993,2.7,58,55,3,0,2,0,1,0,0,0,0,0,35,0,2
Marquinhos,DF,Brazil,28-218,1994,4.7,368,355,12,10,0,3,1,2,0,0,0,0,352,1,1
Marten de Roon,MF,Netherlands,31-264,1991,2.0,119,115,3,2,0,0,0,1,0,0,0,0,97,1,1
Martin Braithwaite,FW,Denmark,31-196,1991,1.1,20,19,1,0,0,1,0,0,0,0,0,0,14,0,4
Martin Hongla,MF,Cameroon,24-277,1998,1.3,61,60,1,0,1,0,1,1,0,0,0,0,49,0,1
Martinelli,FW,Brazil,21-183,2001,1.3,45,41,4,0,0,0,5,4,0,0,0,0,34,0,0
Martín Cáceres,DF,Uruguay,35-255,1987,1.0,79,66,13,1,0,0,0,12,0,0,0,0,68,0,0
Mason Mount,MF,England,23-342,1999,2.1,73,70,3,2,0,3,3,0,0,0,0,0,61,0,1
Mateo Kovačić,MF,Croatia,28-226,1994,7.1,460,446,14,5,3,5,3,1,5,0,0,0,415,0,6
Matheus Nunes,MF,Portugal,24-113,1998,0.8,33,32,1,0,0,0,3,1,0,0,0,0,28,0,1
Mathew Leckie,MF,Australia,31-317,1991,3.7,103,101,2,0,0,0,4,2,0,0,0,0,67,0,8
Mathew Ryan,GK,Australia,30-254,1992,4.0,164,111,53,16,0,1,0,0,0,0,0,0,113,0,0
Mathias Jensen,MF,Denmark,26-351,1996,0.9,67,63,4,1,0,1,2,3,0,0,0,0,52,0,0
Mathías Olivera,DF,Uruguay,25-048,1997,2.8,133,107,26,1,0,0,6,25,0,0,0,0,104,0,5
Matt Turner,GK,United States,28-177,1994,4.0,128,98,30,10,0,0,0,0,0,0,0,0,101,0,0
Matthias Ginter,DF,Germany,28-333,1994,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Matthijs de Ligt,DF,Netherlands,23-128,1999,1.0,45,43,2,2,0,1,0,0,0,0,0,0,41,0,0
Matty Cash,DF,Poland,25-133,1997,4.0,160,127,33,3,0,2,9,30,0,0,0,0,123,0,6
Mattéo Guendouzi,FW,France,23-248,1999,0.9,33,30,3,1,0,1,0,1,0,0,0,0,27,0,2
Matías Vecino,MF,Uruguay,31-116,1991,2.2,106,105,1,1,0,1,1,0,0,0,0,0,76,0,5
Matías Viña,DF,Uruguay,25-039,1997,0.2,21,17,4,1,0,1,2,3,0,0,0,0,11,0,2
Maxi Gómez,FW,Uruguay,26-126,1996,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Maya Yoshida,DF,Japan,34-116,1988,4.3,232,227,5,4,0,1,0,0,0,0,0,0,198,0,0
Mehdi Taremi,FW,IR Iran,30-153,1992,3.0,78,71,7,0,0,0,0,0,1,0,0,0,58,0,3
Mehdi Torabi,MF,IR Iran,28-099,1994,0.7,37,36,1,0,1,0,1,1,0,0,0,0,30,0,1
Memphis,FW,Netherlands,28-308,1994,3.3,123,113,8,0,1,1,2,1,0,0,0,0,93,2,5
Meshaal Barsham,GK,Qatar,24-307,1998,2.0,63,38,24,4,0,0,0,0,0,0,0,0,45,1,0
Michael Estrada,FW,Ecuador,26-255,1996,2.5,50,48,1,0,1,0,0,1,0,0,0,0,28,1,1
Michał Skóraś,MF,Poland,22-306,2000,0.5,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
Michel Aebischer,MF,Switzerland,25-346,1997,0.2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Michy Batshuayi,FW,Belgium,29-077,1993,1.7,24,22,2,0,0,0,0,0,0,0,0,0,16,0,1
Miki Yamane,DF,Japan,28-361,1993,0.7,33,28,5,0,0,0,2,5,0,0,0,0,24,0,2
Mikkel Damsgaard,MF,Denmark,22-168,2000,1.7,72,72,0,0,0,1,3,0,0,0,0,0,55,0,0
Milad Mohammadi,DF,IR Iran,29-080,1993,2.2,68,56,12,0,0,1,2,12,0,0,0,0,44,0,4
Milan Borjan,GK,Canada,35-056,1987,3.0,98,72,25,10,0,1,0,0,0,0,0,0,76,1,0
Miloš Degenek,DF,Australia,28-234,1994,2.0,101,71,30,4,0,0,1,26,0,0,0,0,67,0,5
Miloš Veljković,DF,Serbia,27-083,1995,2.5,112,111,1,1,0,5,0,0,0,0,0,0,98,0,3
