player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Mitchell Duke,FW,Australia,31-334,1991,3.0,96,0,11,47,40,11,96,1,2,50.0,11,1,61,5
Mohamed Ali Ben Romdhane,MF,Tunisia,23-103,1999,0.8,31,1,5,18,10,3,31,1,3,33.3,0,5,15,3
Mohamed Dräger,DF,Tunisia,26-176,1996,1.5,70,4,25,27,20,3,70,1,2,50.0,5,0,33,3
Mohamed Kanno,MF,Saudi Arabia,28-087,1994,3.0,184,10,31,109,48,6,184,5,10,50.0,6,1,117,7
Mohammed Al-Breik,DF,Saudi Arabia,30-094,1992,0.7,57,3,15,22,20,2,57,0,0,,1,0,38,2
Mohammed Al-Owais,GK,Saudi Arabia,31-069,1991,3.0,113,87,111,3,0,0,113,0,0,,0,0,25,0
Mohammed Muntari,FW,Qatar,28-363,1993,0.7,28,2,5,18,5,3,28,0,0,,1,0,22,0
Mohammed Salisu,DF,Ghana,23-245,1999,3.0,184,27,102,72,11,6,184,0,0,,1,1,114,1
Mohammed Waad,MF,Qatar,23-091,1999,0.3,16,0,5,8,3,0,16,1,1,100.0,1,0,12,0
Moisés Caicedo,MF,Ecuador,21-046,2001,3.0,173,4,29,121,23,3,173,0,0,,3,1,117,1
Montassar Talbi,DF,Tunisia,24-206,1998,3.0,177,24,97,77,3,1,177,0,1,0.0,1,1,96,0
Morteza Pouraliganji,DF,IR Iran,30-243,1992,3.0,156,19,86,60,10,4,156,0,0,,1,0,84,3
Moumi Ngamaleu,FW,Cameroon,28-162,1994,1.1,34,0,6,12,18,5,34,2,4,50.0,2,3,26,9
Munir,GK,Morocco,33-222,1989,1.0,31,29,31,0,0,0,31,0,0,,0,0,8,0
Musab Kheder,DF,Qatar,29-083,1993,0.1,5,0,2,2,1,0,5,0,0,,1,0,3,1
Na Sang-ho,FW,Korea Republic,26-128,1996,1.3,60,1,4,15,41,4,60,0,4,0.0,4,4,40,8
Nader Ghandri,DF,Tunisia,27-303,1995,1.0,45,10,33,12,0,0,45,0,0,,0,0,22,0
Nahuel Molina,DF,Argentina,24-256,1998,6.3,398,13,116,192,93,6,398,1,2,50.0,6,3,251,18
Nampalys Mendy,MF,Senegal,30-178,1992,3.0,182,5,42,111,31,1,182,1,1,100.0,4,0,122,2
Nasser Al-Dawsari,FW,Saudi Arabia,23-364,1998,0.1,13,1,3,6,4,0,13,0,0,,0,1,10,1
Nathan Aké,DF,Netherlands,27-303,1995,5.3,393,29,166,211,16,1,393,0,2,0.0,1,0,289,2
Nathaniel Atkinson,DF,Australia,23-188,1999,0.9,43,4,15,21,7,0,43,0,2,0.0,0,3,18,2
Nawaf Al Abed,MF,Saudi Arabia,32-326,1990,1.0,51,0,1,23,28,4,51,1,2,50.0,6,5,41,6
Nayef Aguerd,DF,Morocco,26-263,1996,3.9,185,41,132,53,1,1,185,0,0,,1,0,118,0
Naïm Sliti,MF,Tunisia,30-144,1992,1.3,67,0,5,26,37,4,67,5,8,62.5,4,1,39,4
Neco Williams,DF,Wales,21-249,2001,2.3,138,4,35,66,40,5,138,1,7,14.3,6,2,60,3
Nemanja Gudelj,MF,Serbia,31-032,1991,1.0,59,2,22,32,5,0,59,0,0,,2,2,42,1
Nemanja Maksimović,MF,Serbia,27-326,1995,1.4,75,3,17,46,12,1,75,0,0,,2,1,41,2
Nemanja Radonjić,DF,Serbia,26-306,1996,0.7,36,1,9,8,19,1,36,0,5,0.0,2,1,21,1
Neymar,MF,Brazil,30-316,1992,3.1,203,0,11,101,94,15,202,6,23,26.1,8,12,167,21
Niclas Füllkrug,FW,Germany,29-312,1993,0.8,38,0,0,14,24,13,38,1,1,100.0,2,0,27,13
Nico Elvedi,DF,Switzerland,26-079,1996,2.0,165,26,93,69,3,1,165,0,0,,1,0,114,0
Nico Schlotterbeck,DF,Germany,23-017,1999,1.0,135,8,46,80,10,0,135,0,2,0.0,1,1,101,2
Nico Williams,FW,Spain,20-159,2002,1.6,88,0,5,38,47,4,88,5,16,31.3,9,2,69,10
Nicola Zalewski,MF,Poland,20-329,2002,0.7,29,1,8,11,12,0,29,0,2,0.0,3,1,18,2
Nicolas Jackson,FW,Senegal,21-181,2001,0.2,11,0,5,2,4,1,11,0,0,,1,0,9,2
Nicolas Nkoulou,DF,Cameroon,32-266,1990,2.0,115,19,79,33,5,3,115,0,0,,1,0,79,1
Nicolás De La Cruz,MF,Uruguay,25-200,1997,0.4,28,0,2,15,12,2,28,0,1,0.0,1,1,23,1
Nicolás Otamendi,DF,Argentina,34-309,1988,7.7,639,52,297,334,9,3,639,0,0,,2,1,474,2
Nicolás Tagliafico,DF,Argentina,30-109,1992,4.1,220,12,53,109,62,9,220,0,2,0.0,1,1,124,12
Niklas Süle,DF,Germany,27-106,1995,3.0,268,15,89,157,24,2,268,0,0,,0,1,204,1
Nikola Milenković,DF,Serbia,25-067,1997,3.0,198,22,85,104,10,2,198,0,0,,2,0,118,0
Nikola Vlašić,FW,Croatia,25-075,1997,2.3,80,1,10,35,38,8,80,3,9,33.3,5,6,62,11
Noa Lang,MF,Netherlands,23-184,1999,0.1,5,1,3,1,1,0,5,0,0,,0,0,1,0
Noah Okafor,FW,Switzerland,22-208,2000,0.5,29,0,1,17,11,1,29,0,3,0.0,2,1,23,6
Nouhou Tolo,DF,Cameroon,25-178,1997,3.0,145,17,58,58,31,2,145,1,5,20.0,4,0,66,1
Noussair Mazraoui,DF,Morocco,25-034,1997,4.1,175,15,79,69,29,1,175,1,5,20.0,6,1,79,5
Nuno Mendes,DF,Portugal,20-182,2002,0.5,36,0,6,18,13,0,36,1,2,50.0,1,0,27,0
Néstor Araujo,DF,Mexico,31-111,1991,1.0,62,1,16,40,6,0,62,0,0,,0,1,37,0
Olivier Giroud,FW,France,36-079,1986,4.7,111,5,10,58,43,21,111,0,0,,5,1,80,12
Olivier Ntcham,MF,Cameroon,26-312,1996,0.3,14,1,3,7,4,0,14,2,2,100.0,0,0,10,0
Orbelín Pineda,MF,Mexico,26-269,1996,0.8,46,1,5,21,21,4,46,0,2,0.0,3,3,31,1
Osman Bukari,MF,Ghana,24-005,1998,0.7,29,0,1,10,18,4,29,0,2,0.0,1,1,17,6
Otávio,MF,Portugal,27-312,1995,2.2,145,0,16,88,41,1,145,0,0,,4,3,110,9
Ousmane Dembélé,FW,France,25-217,1997,4.8,241,2,24,81,142,16,241,9,23,39.1,8,6,179,17
Pablo Sarabia,FW,Spain,30-221,1992,0.0,6,0,0,0,6,1,6,0,0,,0,0,3,0
Paik Seung-ho,MF,Korea Republic,25-276,1997,0.3,30,1,4,18,8,1,30,0,0,,0,0,19,0
Pape Abou Cissé,DF,Senegal,27-095,1995,1.2,49,10,35,12,2,2,49,1,1,100.0,0,0,32,0
Pape Gueye,MF,Senegal,23-328,1999,1.7,81,2,17,46,19,3,81,0,1,0.0,3,3,42,3
Pape Matar Sarr,MF,Senegal,20-095,2002,0.7,54,3,11,28,15,0,54,0,2,0.0,0,2,36,1
Papu Gómez,MF,Argentina,34-306,1988,1.2,69,0,8,39,23,1,69,1,2,50.0,1,1,58,5
Pathé Ciss,MF,Senegal,28-277,1994,1.6,74,6,20,49,9,1,74,1,3,33.3,4,1,40,0
Pau Torres,DF,Spain,25-336,1997,1.0,194,6,30,162,2,0,194,0,0,,0,0,175,0
Paulo Dybala,FW,Argentina,29-033,1993,0.2,20,1,1,12,7,1,20,1,2,50.0,0,1,13,2
Pedri,MF,Spain,20-023,2002,4.0,462,3,35,324,107,2,462,6,11,54.5,4,5,395,9
Pedro,FW,Brazil,25-181,1997,0.7,25,0,3,10,12,5,25,0,0,,3,1,19,5
Pepe,DF,Portugal,39-295,1983,4.0,330,23,145,177,10,4,330,1,1,100.0,1,1,240,0
Pervis Estupiñán,DF,Ecuador,24-331,1998,3.0,217,7,44,122,54,5,217,2,8,25.0,4,4,124,8
Phil Foden,FW,England,22-204,2000,2.9,143,1,8,55,81,8,143,3,6,50.0,7,1,109,24
Piero Hincapié,DF,Ecuador,20-343,2002,3.0,227,11,123,100,4,0,227,0,0,,4,0,167,0
Pierre Højbjerg,MF,Denmark,27-135,1995,3.0,249,13,56,175,20,0,249,1,2,50.0,3,2,180,4
Pierre Kunde,MF,Cameroon,27-145,1995,1.5,70,6,19,43,10,2,70,0,1,0.0,2,3,33,1
Piotr Zieliński,MF,Poland,28-212,1994,3.6,178,7,23,115,43,3,178,1,4,25.0,2,1,113,4
Przemysław Frankowski,MF,Poland,27-250,1995,2.7,97,6,22,42,34,1,97,2,4,50.0,3,3,56,4
Rafael Leão,FW,Portugal,23-191,1999,1.0,63,1,7,20,36,6,63,6,9,66.7,5,2,49,12
Raheem Sterling,FW,England,28-010,1994,1.7,68,2,5,37,28,6,68,2,3,66.7,6,3,56,12
Ramin Rezaeian,DF,IR Iran,32-272,1990,2.0,130,8,49,47,36,3,130,1,1,100.0,7,3,67,5
Randal Kolo Muani,FW,France,24-013,1998,2.0,76,1,5,28,44,10,76,3,8,37.5,8,6,48,9
Raphaël Guerreiro,DF,Portugal,28-361,1993,3.1,207,2,45,92,71,6,207,2,2,100.0,1,1,138,14
Raphaël Varane,DF,France,29-237,1993,5.8,322,34,141,175,7,3,322,1,1,100.0,0,0,237,0
Raphinha,FW,Brazil,26-004,1996,3.5,189,2,18,68,104,20,189,4,15,26.7,6,4,136,18
Rasmus Nissen,DF,Denmark,25-160,1997,2.5,204,7,34,97,74,4,204,1,5,20.0,3,3,131,13
Raúl Jiménez,FW,Mexico,31-227,1991,0.7,37,1,3,16,18,3,37,0,0,,2,0,24,4
Remo Freuler,MF,Switzerland,30-247,1992,3.6,197,6,48,109,41,4,197,0,4,0.0,12,0,124,5
Renato Steffen,FW,Switzerland,31-045,1991,0.4,19,2,8,7,4,0,19,0,0,,1,2,8,0
Ricardo Horta,FW,Portugal,28-094,1994,1.3,55,1,8,17,30,6,55,0,0,,2,0,37,7
Ricardo Rodríguez,DF,Switzerland,30-115,1992,4.0,247,12,89,120,40,2,247,0,0,,2,3,158,6
Richarlison,FW,Brazil,25-222,1997,3.6,97,4,12,29,58,19,97,0,5,0.0,12,3,59,18
Richie Laryea,DF,Canada,27-345,1995,1.8,73,8,22,25,28,10,73,2,6,33.3,4,1,42,7
Riley McGree,FW,Australia,24-046,1998,2.9,107,2,16,53,39,4,107,0,1,0.0,8,2,62,9
Ritsu Doan,FW,Japan,24-185,1998,2.4,95,3,15,37,43,6,95,4,8,50.0,7,3,50,4
Riyadh Sharahili,MF,Saudi Arabia,29-234,1993,0.6,28,6,11,16,2,0,28,1,2,50.0,1,1,10,0
Roan Wilson,MF,Costa Rica,20-231,2002,0.0,8,1,3,5,0,0,8,0,0,,0,0,5,1
Robert Lewandowski,FW,Poland,34-119,1988,4.0,153,9,13,73,69,19,151,5,12,41.7,16,6,113,14
Robert Skov,DF,Denmark,26-212,1996,0.2,24,0,3,6,15,1,24,0,1,0.0,0,0,17,3
Roberto Alvarado,FW,Mexico,24-102,1998,0.2,12,0,0,5,7,0,12,0,1,0.0,0,0,10,1
Rodri,DF,Spain,26-179,1996,4.3,710,28,157,518,35,3,710,0,0,,0,0,598,2
Rodrigo Bentancur,MF,Uruguay,25-176,1997,2.4,197,7,54,125,25,2,197,3,6,50.0,6,3,118,0
Rodrigo De Paul,MF,Argentina,28-208,1994,6.7,625,4,80,371,179,12,625,1,9,11.1,9,7,481,15
Rodrygo,MF,Brazil,21-343,2001,2.0,152,3,10,63,80,15,152,2,9,22.2,9,3,106,14
Rogelio Funes Mori,FW,Mexico,31-288,1991,0.1,2,0,0,1,1,0,2,0,0,,0,0,3,0
Romain Saïss,DF,Morocco,32-267,1990,5.2,248,51,164,84,3,1,248,1,2,50.0,0,0,138,0
Romario Ibarra,MF,Ecuador,28-085,1994,0.8,23,1,4,13,7,2,23,1,1,100.0,3,1,14,4
Romelu Lukaku,FW,Belgium,29-219,1993,0.6,16,1,2,5,9,6,16,1,1,100.0,1,1,12,6
Roozbeh Cheshmi,DF,IR Iran,29-147,1993,0.6,19,4,13,5,1,0,19,0,0,,1,0,4,0
Ruben Vargas,FW,Switzerland,24-135,1998,3.2,140,4,17,46,79,9,140,1,7,14.3,6,1,99,18
Rubin Colwill,MF,Wales,20-235,2002,0.1,6,1,1,3,2,0,6,0,0,,0,0,3,0
Ró-Ró,DF,Qatar,32-134,1990,2.9,134,9,50,63,21,3,134,2,4,50.0,4,2,84,4
Rónald Matarrita,DF,Costa Rica,28-162,1994,0.3,30,0,12,15,4,1,30,1,1,100.0,1,0,22,0
Rúben Dias,DF,Portugal,25-218,1997,4.0,293,24,144,147,3,2,293,0,0,,2,1,216,0
Rúben Neves,MF,Portugal,25-280,1997,3.0,275,7,68,173,34,1,275,0,0,,1,1,220,1
Saad Al Sheeb,GK,Qatar,32-302,1990,1.0,22,21,22,0,0,0,22,0,0,,0,0,8,0
Sadegh Moharrami,DF,IR Iran,26-292,1996,1.0,32,5,12,12,8,1,32,1,1,100.0,0,2,14,1
Saeid Ezatolahi,MF,IR Iran,26-078,1996,2.4,115,6,33,66,20,1,115,0,1,0.0,5,0,62,1
Saleh Al-Shehri,FW,Saudi Arabia,29-047,1993,2.5,73,2,5,37,32,12,73,0,2,0.0,8,1,39,9
Salem Al-Dawsari,MF,Saudi Arabia,31-121,1991,3.0,146,1,20,63,68,13,145,2,10,20.0,13,6,106,17
Salis Abdul Samed,MF,Ghana,22-267,2000,2.8,169,15,64,82,24,0,169,3,4,75.0,4,2,121,2
Salman Al-Faraj,MF,Saudi Arabia,33-139,1989,0.5,19,0,1,11,7,0,19,0,0,,1,2,13,1
Sam Adekugbe,DF,Canada,27-336,1995,1.1,77,2,9,48,20,0,77,1,1,100.0,1,0,59,2
Saman Ghoddos,MF,IR Iran,29-103,1993,0.5,24,0,2,7,15,1,24,0,0,,2,1,19,6
Sami Al-Najei,MF,Saudi Arabia,25-314,1997,0.5,25,0,3,5,18,1,25,0,0,,1,1,15,2
Samuel Oum Gouet,MF,Cameroon,25-005,1997,1.1,65,4,23,38,5,0,65,0,0,,1,0,40,0
Sardar Azmoun,FW,IR Iran,27-351,1995,1.4,40,1,5,17,18,8,40,0,1,0.0,0,0,29,3
Saud Abdulhamid,DF,Saudi Arabia,23-153,1999,3.0,150,11,37,61,54,5,150,2,4,50.0,4,1,74,10
Saša Lukić,MF,Serbia,26-127,1996,2.7,182,6,30,132,21,1,182,0,1,0.0,2,2,130,3
Sebastian Szymański,MF,Poland,23-222,1999,1.5,61,3,18,28,16,3,61,1,3,33.3,5,2,35,6
Sebastián Coates,DF,Uruguay,32-072,1990,2.0,107,8,50,53,4,3,107,0,0,,0,2,66,1
Selim Amallah,MF,Morocco,26-033,1996,4.5,145,5,30,87,29,5,145,1,7,14.3,15,5,80,8
Serge Gnabry,FW,Germany,27-157,1995,2.9,148,1,9,42,98,21,148,3,5,60.0,4,7,111,16
Sergej Milinković-Savić,MF,Serbia,27-294,1995,2.6,158,8,33,88,41,4,158,3,6,50.0,7,2,106,7
Sergio Busquets,MF,Spain,34-155,1988,4.0,309,6,46,209,54,1,309,1,1,100.0,2,2,237,13
Sergio Rochet,GK,Uruguay,29-270,1993,3.0,88,78,87,1,0,0,88,0,0,,1,0,35,0
Sergiño Dest,DF,United States,22-045,2000,3.4,250,10,58,115,80,6,250,5,13,38.5,9,8,178,3
Shaquell Moore,DF,United States,26-046,1996,0.2,27,4,12,7,8,2,27,0,0,,0,0,16,1
Shogo Taniguchi,DF,Japan,31-156,1991,2.3,105,16,49,51,6,3,105,0,0,,0,0,62,0
Shūichi Gonda,GK,Japan,33-290,1989,4.3,124,106,124,0,0,0,124,0,0,,0,0,49,0
Silvan Widmer,DF,Switzerland,29-288,1993,2.9,208,13,67,95,47,6,208,1,2,50.0,5,6,126,8
Simon Kjær,DF,Denmark,33-267,1989,0.7,68,4,28,39,1,0,68,0,0,,1,0,45,0
Sofiane Boufal,FW,Morocco,29-092,1993,5.3,199,3,31,95,77,11,199,14,27,51.9,14,5,144,14
Sofyan Amrabat,MF,Morocco,26-119,1996,7.3,383,23,143,225,18,0,383,0,5,0.0,9,3,240,0
Son Heung-min,FW,Korea Republic,30-163,1992,4.0,158,2,19,43,98,19,158,3,15,20.0,8,6,107,25
Son Jun-ho,MF,Korea Republic,30-220,1992,0.8,68,2,17,49,2,0,68,0,0,,0,0,46,2
Sorba Thomas,MF,Wales,23-118,1999,0.0,6,0,1,2,3,0,6,0,1,0.0,0,1,4,0
Srđan Babić,DF,Serbia,26-240,1996,0.1,16,1,8,8,1,0,16,0,0,,0,0,11,0
Stefan Mitrović,DF,Serbia,32-210,1990,0.4,22,1,8,13,1,0,22,0,0,,0,0,19,0
Stephen Eustáquio,MF,Canada,25-362,1996,1.4,109,8,17,69,23,1,109,1,1,100.0,0,2,76,2
Steve Mandanda,GK,France,37-265,1985,1.0,32,28,32,0,0,0,32,0,0,,0,0,9,0
Steven Berghuis,MF,Netherlands,30-364,1991,2.2,141,0,10,84,49,2,141,1,4,25.0,1,1,109,11
Steven Bergwijn,FW,Netherlands,25-071,1997,2.4,85,0,5,45,36,4,85,1,4,25.0,4,2,74,22
Steven Vitória,DF,Canada,35-341,1987,3.0,203,14,85,117,1,0,203,0,1,0.0,1,1,142,0
Strahinja Pavlović,DF,Serbia,21-208,2001,2.6,186,14,71,101,17,3,186,2,3,66.7,4,3,120,3
Sultan Al-Ghanam,DF,Saudi Arabia,28-226,1994,1.4,68,5,19,25,26,3,68,0,2,0.0,4,1,36,2
Taha Yassine Khenissi,FW,Tunisia,30-346,1992,0.3,8,1,1,3,4,2,8,0,0,,1,2,3,0
Tajon Buchanan,MF,Canada,23-313,1999,2.9,131,3,20,42,72,8,131,7,25,28.0,8,7,95,17
Takefusa Kubo,FW,Japan,21-197,2001,1.0,23,1,4,10,10,4,23,0,0,,5,1,13,0
Takehiro Tomiyasu,DF,Japan,24-043,1998,2.1,118,11,60,43,15,2,118,0,0,,2,0,68,1
Takuma Asano,FW,Japan,28-038,1994,1.8,49,2,6,16,28,9,49,0,1,0.0,7,1,27,11
Takumi Minamino,FW,Japan,27-336,1995,0.7,32,1,7,12,13,4,32,0,0,,2,2,20,5
Tarek Salman,DF,Qatar,25-013,1997,0.1,14,1,7,6,1,0,14,0,0,,0,0,9,0
Tariq Lamptey,DF,Ghana,22-079,2000,1.1,50,7,23,18,10,1,50,0,3,0.0,1,1,17,3
Teun Koopmeiners,MF,Netherlands,24-293,1998,2.4,149,7,32,95,22,0,149,1,2,50.0,2,4,99,7
Theo Hernández,DF,France,25-073,1997,5.6,383,13,87,198,100,8,383,2,5,40.0,6,5,248,13
Thiago Almada,MF,Argentina,21-236,2001,0.1,15,0,0,8,7,0,15,0,0,,2,0,15,2
Thiago Silva,DF,Brazil,38-087,1984,4.3,368,22,139,219,10,3,368,0,1,0.0,2,0,289,0
Thibaut Courtois,GK,Belgium,30-221,1992,3.0,129,121,128,1,0,0,129,1,1,100.0,0,0,66,0
Thilo Kehrer,DF,Germany,26-088,1996,0.8,43,3,21,15,7,0,43,0,0,,1,0,20,1
Thomas Delaney,MF,Denmark,31-106,1991,0.5,31,2,6,19,6,1,31,0,0,,0,0,23,0
Thomas Meunier,DF,Belgium,31-097,1991,2.3,167,6,56,69,42,2,167,1,3,33.3,2,1,114,13
Thomas Müller,FW,Germany,33-096,1989,2.2,91,0,6,35,52,13,91,0,0,,4,2,71,11
Thomas Partey,MF,Ghana,29-188,1993,3.0,220,17,66,129,28,3,220,3,3,100.0,5,4,148,5
Thorgan Hazard,FW,Belgium,29-264,1993,1.2,66,0,11,26,30,2,66,0,2,0.0,4,0,39,9
Tim Ream,DF,United States,35-074,1987,4.0,305,25,117,180,9,3,305,2,2,100.0,4,0,203,0
Timothy Castagne,DF,Belgium,27-013,1995,3.0,229,11,80,119,30,2,229,0,2,0.0,3,0,164,6
Timothy Weah,FW,United States,22-299,2000,3.5,132,0,8,54,72,11,132,2,2,100.0,9,5,99,18
Toby Alderweireld,DF,Belgium,33-291,1989,3.0,303,40,172,127,8,1,303,0,0,,2,0,243,0
Trent Alexander-Arnold,DF,England,24-072,1998,0.4,24,0,10,12,2,0,24,0,0,,0,0,15,0
Tyler Adams,MF,United States,23-307,1999,4.0,307,8,67,205,36,0,307,1,1,100.0,4,3,192,2
Unai Simón,GK,Spain,25-190,1997,4.3,167,133,163,4,0,0,167,0,0,,0,0,112,0
Uriel Antuna,FW,Mexico,25-119,1997,0.9,33,0,2,14,18,1,33,0,1,0.0,6,0,24,6
Vanja Milinković-Savić,GK,Serbia,25-301,1997,3.0,136,105,131,5,0,0,136,0,0,,0,0,64,0
Victor Nelsson,DF,Denmark,24-065,1998,1.0,79,4,17,59,3,0,79,0,0,,0,0,58,0
Vincent Aboubakar,FW,Cameroon,30-330,1992,1.6,50,6,8,19,23,8,50,5,7,71.4,3,0,32,7
Vincent Janssen,FW,Netherlands,28-186,1994,1.0,32,1,1,12,19,4,32,1,1,100.0,4,1,22,5
Vinicius Júnior,FW,Brazil,22-159,2000,3.3,132,2,10,41,83,19,132,5,15,33.3,8,11,105,22
Virgil van Dijk,DF,Netherlands,31-163,1991,5.3,399,61,211,181,8,4,399,0,0,,2,0,275,0
Vitinha,MF,Portugal,22-308,2000,1.3,118,1,7,79,32,0,118,1,2,50.0,2,1,102,5
Wahbi Khazri,FW,Tunisia,31-313,1991,0.9,36,0,5,12,19,5,36,0,3,0.0,3,2,20,7
Wajdi Kechrida,DF,Tunisia,27-043,1995,1.2,77,4,28,25,25,1,77,0,3,0.0,1,3,42,7
Walid Cheddira,FW,Morocco,24-330,1998,0.7,18,2,2,10,6,4,18,0,1,0.0,3,0,13,4
Walker Zimmerman,DF,United States,29-213,1993,3.1,274,26,137,132,5,1,274,0,0,,0,0,191,0
Wataru Endo,MF,Japan,29-312,1993,3.4,239,14,60,139,41,2,239,1,5,20.0,2,5,147,3
Wayne Hennessey,GK,Wales,35-328,1987,1.9,68,61,67,1,0,0,68,0,0,,0,0,27,0
Weston McKennie,MF,United States,24-112,1998,3.0,177,7,19,98,61,8,177,1,2,50.0,2,3,131,15
William Carvalho,MF,Portugal,30-255,1992,2.4,182,5,52,109,22,1,182,0,0,,2,0,146,0
William Saliba,DF,France,21-269,2001,0.3,38,2,14,19,5,0,38,1,1,100.0,1,0,31,0
Wojciech Szczęsny,GK,Poland,32-244,1990,4.0,159,136,158,1,0,0,159,0,0,,0,0,56,0
Wout Weghorst,FW,Netherlands,30-133,1992,0.7,22,0,2,11,9,4,22,0,0,,1,0,14,1
Wéverton,GK,Brazil,35-005,1987,0.1,5,5,5,0,0,0,5,0,0,,0,0,2,0
Xavi Simons,FW,Netherlands,19-241,2003,0.1,11,0,3,6,2,0,11,0,0,,0,0,9,0
Xherdan Shaqiri,FW,Switzerland,31-069,1991,2.5,111,0,8,43,60,5,111,0,3,0.0,1,5,94,15
Yahya Attiat Allah,DF,Morocco,27-291,1995,3.5,167,16,75,66,27,5,167,0,2,0.0,2,2,85,8
Yahya Jabrane,MF,Morocco,31-183,1991,0.2,,,,,,,,,,,,,,
Yann Sommer,GK,Switzerland,34-001,1988,3.0,126,99,126,0,0,0,126,0,0,,0,0,76,0
Yannick Carrasco,FW,Belgium,29-105,1993,1.3,68,3,16,27,25,6,68,1,3,33.3,2,2,45,6
Yasser Al-Shahrani,DF,Saudi Arabia,30-207,1992,1.0,43,3,13,24,6,0,43,0,0,,2,0,15,0
Yassine Bounou,GK,Morocco,31-257,1991,6.3,219,185,217,2,0,0,219,0,0,,0,0,100,0
Yassine Meriah,DF,Tunisia,29-169,1993,3.0,208,29,104,98,7,1,208,2,4,50.0,2,0,138,1
Yeltsin Tejeda,MF,Costa Rica,30-276,1992,3.0,128,9,50,68,11,1,128,0,2,0.0,1,2,74,0
Youri Tielemans,MF,Belgium,25-225,1997,1.1,77,4,20,48,10,0,77,0,0,,2,0,48,2
Youssef En-Nesyri,FW,Morocco,25-200,1997,6.0,127,13,37,61,29,13,127,5,8,62.5,9,1,70,13
Youssef Msakni,MF,Tunisia,32-051,1990,1.9,95,1,16,40,40,14,95,4,7,57.1,5,5,62,13
Youssouf Fofana,MF,France,23-342,1999,2.5,138,5,29,87,28,2,138,2,2,100.0,3,3,94,4
Youssouf Sabaly,DF,Senegal,29-288,1993,4.0,253,5,65,112,79,4,253,4,9,44.4,5,1,167,8
Youssoufa Moukoko,FW,Germany,18-028,2004,0.0,2,0,1,0,1,0,2,0,0,,0,0,1,0
Youstin Salas,DF,Costa Rica,26-184,1996,0.5,27,4,16,7,5,0,27,1,2,50.0,1,1,6,0
Yuki Soma,FW,Japan,25-296,1997,0.9,26,0,2,6,18,1,26,1,2,50.0,2,0,15,3
Yunus Musah,MF,United States,20-019,2002,3.8,221,3,23,126,77,4,221,4,11,36.4,5,3,157,13
Yuto Nagatomo,MF,Japan,36-097,1986,2.3,123,6,27,59,37,0,123,3,4,75.0,1,1,67,2
Zakaria Aboukhlal,FW,Morocco,22-303,2000,0.9,26,2,3,10,13,4,26,0,1,0.0,3,0,16,0
Álvaro Morata,FW,Spain,30-056,1992,2.1,58,3,5,29,25,13,58,1,3,33.3,2,5,49,13
Álvaro Zamora,MF,Costa Rica,20-284,2002,0.3,9,0,1,7,2,0,9,0,0,,1,1,7,1
Ángel Correa,MF,Argentina,27-284,1995,0.1,6,1,3,1,2,0,6,0,0,,1,0,3,0
Ángel Di María,MF,Argentina,34-307,1988,3.2,201,1,13,59,132,17,201,13,25,52.0,10,6,163,24
Ángelo Preciado,DF,Ecuador,24-303,1998,2.9,162,3,38,78,46,3,162,0,4,0.0,6,2,81,1
Éder Militão,DF,Brazil,24-334,1998,3.9,306,12,103,151,55,6,306,0,0,,6,1,217,5
Óscar Duarte,DF,Costa Rica,33-198,1989,3.0,132,29,93,35,4,1,132,0,0,,1,0,70,0
İlkay Gündoğan,MF,Germany,32-055,1990,2.1,187,2,17,117,55,6,186,2,2,100.0,4,1,142,6
